ticker,date,flag_type,reason,last_available_bar_time,exit_time,is_full_day,has_valid_exit
BOLIDEN_5_min,2009-03-09,excluded_halfday,last_available_bar_before_17_20,17:15,17:15,False,True
BOLIDEN_5_min,2009-04-09,excluded_halfday,last_available_bar_before_17_20,12:50,12:50,False,False
BOLIDEN_5_min,2009-04-30,excluded_halfday,last_available_bar_before_17_20,12:50,12:50,False,False
BOLIDEN_5_min,2009-05-20,excluded_halfday,last_available_bar_before_17_20,12:50,12:50,False,False
BOLIDEN_5_min,2009-10-30,excluded_halfday,last_available_bar_before_17_20,12:50,12:50,False,False
BOLIDEN_5_min,2010-01-05,excluded_halfday,last_available_bar_before_17_20,12:50,12:50,False,False
BOLIDEN_5_min,2010-04-01,excluded_halfday,last_available_bar_before_17_20,12:55,12:55,False,False
BOLIDEN_5_min,2010-04-30,excluded_halfday,last_available_bar_before_17_20,12:55,12:55,False,False
BOLIDEN_5_min,2010-05-12,excluded_halfday,last_available_bar_before_17_20,12:55,12:55,False,False
BOLIDEN_5_min,2010-11-05,excluded_halfday,last_available_bar_before_17_20,12:55,12:55,False,False
BOLIDEN_5_min,2011-01-05,excluded_halfday,last_available_bar_before_17_20,12:55,12:55,False,False
BOLIDEN_5_min,2011-04-21,excluded_halfday,last_available_bar_before_17_20,12:55,12:55,False,False
BOLIDEN_5_min,2011-06-01,excluded_halfday,last_available_bar_before_17_20,12:55,12:55,False,False
BOLIDEN_5_min,2011-08-05,excluded_halfday,last_available_bar_before_17_20,16:55,16:55,False,False
BOLIDEN_5_min,2011-08-10,excluded_halfday,last_available_bar_before_17_20,16:55,16:55,False,False
BOLIDEN_5_min,2011-11-04,excluded_halfday,last_available_bar_before_17_20,12:55,12:55,False,False
BOLIDEN_5_min,2012-01-05,excluded_halfday,last_available_bar_before_17_20,12:55,12:55,False,False
BOLIDEN_5_min,2012-04-05,excluded_halfday,last_available_bar_before_17_20,12:55,12:55,False,False
BOLIDEN_5_min,2012-04-30,excluded_halfday,last_available_bar_before_17_20,12:55,12:55,False,False
BOLIDEN_5_min,2012-05-16,excluded_halfday,last_available_bar_before_17_20,12:55,12:55,False,False
BOLIDEN_5_min,2012-11-02,excluded_halfday,last_available_bar_before_17_20,12:55,12:55,False,False
BOLIDEN_5_min,2013-04-30,excluded_halfday,last_available_bar_before_17_20,12:55,12:55,False,False
BOLIDEN_5_min,2013-05-08,excluded_halfday,last_available_bar_before_17_20,12:55,12:55,False,False
BOLIDEN_5_min,2013-11-01,excluded_halfday,last_available_bar_before_17_20,12:55,12:55,False,False
BOLIDEN_5_min,2014-04-17,excluded_halfday,last_available_bar_before_17_20,12:55,12:55,False,False
BOLIDEN_5_min,2014-04-30,excluded_halfday,last_available_bar_before_17_20,12:55,12:55,False,False
BOLIDEN_5_min,2014-05-28,excluded_halfday,last_available_bar_before_17_20,12:55,12:55,False,False
BOLIDEN_5_min,2014-10-31,excluded_halfday,last_available_bar_before_17_20,12:55,12:55,False,False
BOLIDEN_5_min,2015-01-05,excluded_halfday,last_available_bar_before_17_20,12:55,12:55,False,False
BOLIDEN_5_min,2015-04-02,excluded_halfday,last_available_bar_before_17_20,12:55,12:55,False,False
BOLIDEN_5_min,2015-04-30,excluded_halfday,last_available_bar_before_17_20,12:55,12:55,False,False
BOLIDEN_5_min,2015-05-13,excluded_halfday,last_available_bar_before_17_20,12:55,12:55,False,False
BOLIDEN_5_min,2015-08-25,excluded_halfday,last_available_bar_before_17_20,16:55,16:55,False,False
BOLIDEN_5_min,2015-10-30,excluded_halfday,last_available_bar_before_17_20,12:55,12:55,False,False
BOLIDEN_5_min,2016-01-05,excluded_halfday,last_available_bar_before_17_20,12:55,12:55,False,False
BOLIDEN_5_min,2016-03-24,excluded_halfday,last_available_bar_before_17_20,12:55,12:55,False,False
BOLIDEN_5_min,2016-05-04,excluded_halfday,last_available_bar_before_17_20,12:55,12:55,False,False
BOLIDEN_5_min,2016-11-04,excluded_halfday,last_available_bar_before_17_20,12:50,12:50,False,False
BOLIDEN_5_min,2017-01-05,excluded_halfday,last_available_bar_before_17_20,12:50,12:50,False,False
BOLIDEN_5_min,2017-04-13,excluded_halfday,last_available_bar_before_17_20,12:50,12:50,False,False
BOLIDEN_5_min,2017-05-24,excluded_halfday,last_available_bar_before_17_20,12:55,12:55,False,False
BOLIDEN_5_min,2017-11-03,excluded_halfday,last_available_bar_before_17_20,12:55,12:55,False,False
BOLIDEN_5_min,2017-11-29,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,16:50,True,False
BOLIDEN_5_min,2018-01-05,excluded_halfday,last_available_bar_before_17_20,12:55,12:55,False,False
BOLIDEN_5_min,2018-03-29,excluded_halfday,last_available_bar_before_17_20,12:55,12:55,False,False
BOLIDEN_5_min,2018-04-30,excluded_halfday,last_available_bar_before_17_20,12:55,12:55,False,False
