ticker,date,flag_type,reason,last_available_bar_time,exit_time,is_full_day,has_valid_exit
HANDELSBANKEN_5_min,2009-02-13,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,17:00,True,False
HANDELSBANKEN_5_min,2009-02-16,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,17:00,True,False
HANDELSBANKEN_5_min,2009-02-19,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,16:45,True,False
HANDELSBANKEN_5_min,2009-02-20,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,17:10,True,False
HANDELSBANKEN_5_min,2009-02-23,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,17:10,True,False
HANDELSBANKEN_5_min,2009-02-24,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,17:05,True,False
HANDELSBANKEN_5_min,2009-02-26,excluded_halfday,last_available_bar_before_17_20,17:15,17:15,False,True
HANDELSBANKEN_5_min,2009-02-27,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,16:35,True,False
HANDELSBANKEN_5_min,2009-03-09,excluded_halfday,last_available_bar_before_17_20,17:15,17:15,False,True
HANDELSBANKEN_5_min,2009-03-18,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,17:05,True,False
HANDELSBANKEN_5_min,2009-03-19,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,17:10,True,False
HANDELSBANKEN_5_min,2009-03-20,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,17:00,True,False
HANDELSBANKEN_5_min,2009-03-24,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,17:10,True,False
HANDELSBANKEN_5_min,2009-03-31,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,17:05,True,False
HANDELSBANKEN_5_min,2009-04-03,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,17:10,True,False
HANDELSBANKEN_5_min,2009-04-06,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,16:45,True,False
HANDELSBANKEN_5_min,2009-04-07,excluded_halfday,last_available_bar_before_17_20,16:55,16:55,False,False
HANDELSBANKEN_5_min,2009-04-09,excluded_halfday,last_available_bar_before_17_20,12:55,12:55,False,False
HANDELSBANKEN_5_min,2009-04-14,excluded_halfday,last_available_bar_before_17_20,17:15,17:15,False,True
HANDELSBANKEN_5_min,2009-04-15,excluded_halfday,last_available_bar_before_17_20,17:15,17:15,False,True
HANDELSBANKEN_5_min,2009-04-16,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,17:10,True,False
HANDELSBANKEN_5_min,2009-04-20,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,17:05,True,False
HANDELSBANKEN_5_min,2009-04-27,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,17:05,True,False
HANDELSBANKEN_5_min,2009-04-28,excluded_halfday,last_available_bar_before_17_20,17:05,17:05,False,False
HANDELSBANKEN_5_min,2009-04-29,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,17:00,True,False
HANDELSBANKEN_5_min,2009-04-30,excluded_halfday,last_available_bar_before_17_20,12:55,12:55,False,False
HANDELSBANKEN_5_min,2009-05-04,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,17:10,True,False
HANDELSBANKEN_5_min,2009-05-05,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,17:00,True,False
HANDELSBANKEN_5_min,2009-05-12,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,17:10,True,False
HANDELSBANKEN_5_min,2009-05-13,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,16:55,True,False
HANDELSBANKEN_5_min,2009-05-14,excluded_halfday,last_available_bar_before_17_20,17:10,17:10,False,False
HANDELSBANKEN_5_min,2009-05-18,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,17:10,True,False
HANDELSBANKEN_5_min,2009-05-20,excluded_halfday,last_available_bar_before_17_20,12:55,12:55,False,False
HANDELSBANKEN_5_min,2009-05-22,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,17:10,True,False
HANDELSBANKEN_5_min,2009-05-25,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,17:10,True,False
HANDELSBANKEN_5_min,2009-05-26,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,16:55,True,False
HANDELSBANKEN_5_min,2009-05-28,excluded_halfday,last_available_bar_before_17_20,17:00,17:00,False,False
HANDELSBANKEN_5_min,2009-05-29,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,17:10,True,False
HANDELSBANKEN_5_min,2009-06-01,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,17:10,True,False
HANDELSBANKEN_5_min,2009-06-02,excluded_halfday,last_available_bar_before_17_20,17:15,17:15,False,True
HANDELSBANKEN_5_min,2009-06-04,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,17:10,True,False
HANDELSBANKEN_5_min,2009-06-05,excluded_halfday,last_available_bar_before_17_20,17:15,17:15,False,True
HANDELSBANKEN_5_min,2009-06-10,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,17:05,True,False
HANDELSBANKEN_5_min,2009-06-11,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,17:10,True,False
HANDELSBANKEN_5_min,2009-06-12,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,17:10,True,False
HANDELSBANKEN_5_min,2009-06-16,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,17:05,True,False
HANDELSBANKEN_5_min,2009-06-17,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,17:10,True,False
HANDELSBANKEN_5_min,2009-06-22,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,17:10,True,False
HANDELSBANKEN_5_min,2009-06-23,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,17:05,True,False
HANDELSBANKEN_5_min,2009-06-25,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,17:05,True,False
HANDELSBANKEN_5_min,2009-06-26,excluded_halfday,last_available_bar_before_17_20,17:00,17:00,False,False
HANDELSBANKEN_5_min,2009-06-29,excluded_halfday,last_available_bar_before_17_20,17:10,17:10,False,False
HANDELSBANKEN_5_min,2009-06-30,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,17:05,True,False
HANDELSBANKEN_5_min,2009-07-02,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,17:00,True,False
HANDELSBANKEN_5_min,2009-07-03,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,16:30,True,False
HANDELSBANKEN_5_min,2009-07-06,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,17:00,True,False
HANDELSBANKEN_5_min,2009-07-07,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,17:10,True,False
HANDELSBANKEN_5_min,2009-07-08,excluded_halfday,last_available_bar_before_17_20,17:05,17:05,False,False
HANDELSBANKEN_5_min,2009-07-09,excluded_halfday,last_available_bar_before_17_20,17:15,17:15,False,True
HANDELSBANKEN_5_min,2009-07-10,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,17:00,True,False
HANDELSBANKEN_5_min,2009-07-13,excluded_halfday,last_available_bar_before_17_20,17:05,17:05,False,False
HANDELSBANKEN_5_min,2009-07-14,excluded_halfday,last_available_bar_before_17_20,17:00,17:00,False,False
HANDELSBANKEN_5_min,2009-07-15,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,17:10,True,False
HANDELSBANKEN_5_min,2009-07-16,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,16:00,True,False
HANDELSBANKEN_5_min,2009-07-17,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,17:10,True,False
HANDELSBANKEN_5_min,2009-07-22,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,17:05,True,False
HANDELSBANKEN_5_min,2009-07-24,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,16:40,True,False
HANDELSBANKEN_5_min,2009-07-27,excluded_halfday,last_available_bar_before_17_20,17:15,17:15,False,True
HANDELSBANKEN_5_min,2009-07-31,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,17:10,True,False
HANDELSBANKEN_5_min,2009-08-07,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,17:10,True,False
HANDELSBANKEN_5_min,2009-08-10,excluded_halfday,last_available_bar_before_17_20,17:10,17:10,False,False
HANDELSBANKEN_5_min,2009-08-12,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,16:50,True,False
HANDELSBANKEN_5_min,2009-08-13,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,17:05,True,False
HANDELSBANKEN_5_min,2009-08-14,excluded_halfday,last_available_bar_before_17_20,17:05,17:05,False,False
HANDELSBANKEN_5_min,2009-08-18,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,17:10,True,False
HANDELSBANKEN_5_min,2009-08-19,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,16:25,True,False
HANDELSBANKEN_5_min,2009-08-20,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,17:00,True,False
HANDELSBANKEN_5_min,2009-08-25,excluded_halfday,last_available_bar_before_17_20,16:50,16:50,False,False
HANDELSBANKEN_5_min,2009-08-26,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,17:05,True,False
HANDELSBANKEN_5_min,2009-08-27,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,16:30,True,False
HANDELSBANKEN_5_min,2009-08-28,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,17:10,True,False
HANDELSBANKEN_5_min,2009-08-31,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,17:10,True,False
HANDELSBANKEN_5_min,2009-09-11,excluded_halfday,last_available_bar_before_17_20,17:15,17:15,False,True
HANDELSBANKEN_5_min,2009-09-17,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,16:55,True,False
HANDELSBANKEN_5_min,2009-09-18,excluded_halfday,last_available_bar_before_17_20,17:15,17:15,False,True
HANDELSBANKEN_5_min,2009-09-22,excluded_halfday,last_available_bar_before_17_20,17:00,17:00,False,False
HANDELSBANKEN_5_min,2009-09-23,excluded_halfday,last_available_bar_before_17_20,16:10,16:10,False,False
HANDELSBANKEN_5_min,2009-09-24,excluded_halfday,last_available_bar_before_17_20,17:15,17:15,False,True
HANDELSBANKEN_5_min,2009-09-25,excluded_halfday,last_available_bar_before_17_20,16:50,16:50,False,False
HANDELSBANKEN_5_min,2009-09-28,excluded_halfday,last_available_bar_before_17_20,17:15,17:15,False,True
HANDELSBANKEN_5_min,2009-09-29,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,17:05,True,False
HANDELSBANKEN_5_min,2009-10-02,excluded_halfday,last_available_bar_before_17_20,17:05,17:05,False,False
HANDELSBANKEN_5_min,2009-10-06,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,17:10,True,False
HANDELSBANKEN_5_min,2009-10-07,excluded_halfday,last_available_bar_before_17_20,17:15,17:15,False,True
HANDELSBANKEN_5_min,2009-10-09,excluded_halfday,last_available_bar_before_17_20,17:10,17:10,False,False
HANDELSBANKEN_5_min,2009-10-13,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,16:40,True,False
HANDELSBANKEN_5_min,2009-10-14,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,17:10,True,False
HANDELSBANKEN_5_min,2009-10-15,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,17:05,True,False
HANDELSBANKEN_5_min,2009-10-20,excluded_halfday,last_available_bar_before_17_20,17:05,17:05,False,False
HANDELSBANKEN_5_min,2009-10-22,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,16:45,True,False
HANDELSBANKEN_5_min,2009-10-23,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,16:55,True,False
HANDELSBANKEN_5_min,2009-10-27,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,17:10,True,False
HANDELSBANKEN_5_min,2009-10-29,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,17:05,True,False
HANDELSBANKEN_5_min,2009-10-30,excluded_halfday,last_available_bar_before_17_20,12:45,12:45,False,False
HANDELSBANKEN_5_min,2009-11-02,excluded_halfday,last_available_bar_before_17_20,17:15,17:15,False,True
HANDELSBANKEN_5_min,2009-11-03,excluded_halfday,last_available_bar_before_17_20,17:10,17:10,False,False
HANDELSBANKEN_5_min,2009-11-04,excluded_halfday,last_available_bar_before_17_20,16:40,16:40,False,False
HANDELSBANKEN_5_min,2009-11-06,excluded_halfday,last_available_bar_before_17_20,17:15,17:15,False,True
HANDELSBANKEN_5_min,2009-11-10,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,17:10,True,False
HANDELSBANKEN_5_min,2009-11-11,excluded_halfday,last_available_bar_before_17_20,17:10,17:10,False,False
HANDELSBANKEN_5_min,2009-11-13,excluded_halfday,last_available_bar_before_17_20,17:15,17:15,False,True
HANDELSBANKEN_5_min,2009-11-16,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,17:10,True,False
HANDELSBANKEN_5_min,2009-11-19,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,16:30,True,False
HANDELSBANKEN_5_min,2009-11-25,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,17:05,True,False
HANDELSBANKEN_5_min,2009-11-27,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,16:55,True,False
HANDELSBANKEN_5_min,2009-11-30,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,17:10,True,False
HANDELSBANKEN_5_min,2009-12-02,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,17:00,True,False
HANDELSBANKEN_5_min,2009-12-03,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,16:55,True,False
HANDELSBANKEN_5_min,2009-12-04,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,17:05,True,False
HANDELSBANKEN_5_min,2009-12-07,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,17:05,True,False
HANDELSBANKEN_5_min,2009-12-11,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,16:55,True,False
HANDELSBANKEN_5_min,2009-12-15,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,17:10,True,False
HANDELSBANKEN_5_min,2009-12-16,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,17:05,True,False
HANDELSBANKEN_5_min,2009-12-17,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,17:10,True,False
HANDELSBANKEN_5_min,2009-12-22,excluded_halfday,last_available_bar_before_17_20,17:15,17:15,False,True
HANDELSBANKEN_5_min,2009-12-23,excluded_halfday,last_available_bar_before_17_20,17:15,17:15,False,True
HANDELSBANKEN_5_min,2010-01-04,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,17:10,True,False
HANDELSBANKEN_5_min,2010-01-05,excluded_halfday,last_available_bar_before_17_20,12:55,12:55,False,False
HANDELSBANKEN_5_min,2010-01-07,excluded_halfday,last_available_bar_before_17_20,17:15,17:15,False,True
HANDELSBANKEN_5_min,2010-01-12,excluded_invalid_exit,missing_exit_bar_17_20_or_fallback_17_15,17:25,17:10,True,False
