date,period_start,period_end,trades,net_pnl,cumulative_pnl,capital
2012-01-02,2012-01-01,2014-12-31,4,-901.0990814702511,-901.0990814702511,99098.90091852975
2012-01-03,2012-01-01,2014-12-31,4,1594.4606310127424,693.3615495424913,100693.36154954249
2012-01-04,2012-01-01,2014-12-31,13,865.251983489195,1558.6135330316863,101558.61353303166
2012-01-09,2012-01-01,2014-12-31,15,-587.780191110882,970.8333419208043,100970.83334192078
2012-01-10,2012-01-01,2014-12-31,7,1014.8796396084847,1985.712981529289,101985.71298152926
2012-01-11,2012-01-01,2014-12-31,5,-574.1636351342662,1411.549346395023,101411.54934639498
2012-01-12,2012-01-01,2014-12-31,6,925.2706803324988,2336.8200267275215,102336.82002672748
2012-01-13,2012-01-01,2014-12-31,7,-1116.4603396834837,1220.3596870440379,101220.35968704398
2012-01-16,2012-01-01,2014-12-31,5,1317.0776178495091,2537.4373048935468,102537.4373048935
2012-01-17,2012-01-01,2014-12-31,12,-927.4752502741154,1609.9620546194315,101609.96205461938
2012-01-18,2012-01-01,2014-12-31,5,-1910.8783324511437,-300.91627783171225,99699.08372216823
2012-01-19,2012-01-01,2014-12-31,4,-538.4307703276261,-839.3470481593383,99160.6529518406
2012-01-20,2012-01-01,2014-12-31,8,449.3573905363416,-389.98965762299673,99610.01034237696
2012-01-23,2012-01-01,2014-12-31,3,-831.9123814130327,-1221.9020390360295,98778.09796096393
2012-01-24,2012-01-01,2014-12-31,8,-15.176709832728932,-1237.0787488687583,98762.9212511312
2012-01-25,2012-01-01,2014-12-31,8,-2366.658145543307,-3603.7368944120653,96396.26310558789
2012-01-26,2012-01-01,2014-12-31,3,178.78583407538565,-3424.95106033668,96575.04893966328
2012-01-27,2012-01-01,2014-12-31,7,85.34932479709224,-3339.6017355395875,96660.39826446037
2012-01-30,2012-01-01,2014-12-31,5,-591.2851704542248,-3930.8869059938124,96069.11309400613
2012-01-31,2012-01-01,2014-12-31,7,-1807.0145359230748,-5737.901441916887,94262.09855808305
2012-02-01,2012-01-01,2014-12-31,3,115.6270179469438,-5622.274423969943,94377.72557602999
2012-02-02,2012-01-01,2014-12-31,4,107.86162977045936,-5514.412794199484,94485.58720580046
2012-02-03,2012-01-01,2014-12-31,4,516.4977492034739,-4997.91504499601,95002.08495500393
2012-02-06,2012-01-01,2014-12-31,6,-1098.8188567596007,-6096.7339017556105,93903.26609824432
2012-02-07,2012-01-01,2014-12-31,4,1564.4790823069675,-4532.254819448643,95467.74518055128
2012-02-08,2012-01-01,2014-12-31,8,-1082.3163068715157,-5614.571126320158,94385.42887367978
2012-02-09,2012-01-01,2014-12-31,3,-85.21000447549712,-5699.781130795655,94300.21886920428
2012-02-10,2012-01-01,2014-12-31,1,-60.29045433641136,-5760.0715851320665,94239.92841486787
2012-02-13,2012-01-01,2014-12-31,2,-531.7471189265601,-6291.818704058626,93708.18129594132
2012-02-14,2012-01-01,2014-12-31,2,-856.2432999405738,-7148.0620039992,92851.93799600075
2012-02-15,2012-01-01,2014-12-31,5,-228.27492219920669,-7376.336926198406,92623.66307380155
2012-02-16,2012-01-01,2014-12-31,8,-2902.2292672776543,-10278.566193476061,89721.43380652388
2012-02-17,2012-01-01,2014-12-31,7,-540.2994818696075,-10818.865675345669,89181.13432465427
2012-02-20,2012-01-01,2014-12-31,4,-266.3848014590877,-11085.250476804757,88914.74952319518
2012-02-21,2012-01-01,2014-12-31,4,-92.7750154244914,-11178.025492229248,88821.97450777068
2012-02-22,2012-01-01,2014-12-31,2,-248.64496599095997,-11426.670458220207,88573.32954177972
2012-02-23,2012-01-01,2014-12-31,8,-847.1816395016724,-12273.85209772188,87726.14790227807
2012-02-24,2012-01-01,2014-12-31,5,-1220.4716457651416,-13494.32374348702,86505.67625651293
2012-02-27,2012-01-01,2014-12-31,1,25.297782702184318,-13469.025960784837,86530.97403921511
2012-02-28,2012-01-01,2014-12-31,2,-285.5838294238422,-13754.609790208679,86245.39020979127
2012-02-29,2012-01-01,2014-12-31,4,-526.9288484754086,-14281.538638684087,85718.46136131586
2012-03-01,2012-01-01,2014-12-31,7,-58.80041107629991,-14340.339049760387,85659.66095023954
2012-03-02,2012-01-01,2014-12-31,2,-604.2470017300571,-14944.586051490443,85055.4139485095
2012-03-05,2012-01-01,2014-12-31,3,671.586177669072,-14272.99987382137,85727.00012617855
2012-03-06,2012-01-01,2014-12-31,8,6546.786315660779,-7726.213558160592,92273.78644183931
2012-03-07,2012-01-01,2014-12-31,8,1035.1619855429176,-6691.0515726176745,93308.94842738222
2012-03-08,2012-01-01,2014-12-31,12,2667.1699918812014,-4023.881580736473,95976.11841926341
