date,period_start,period_end,trades,net_pnl,cumulative_pnl,capital
2021-01-04,2021-01-01,2023-12-31,16,117.19899671206511,117.19899671206511,100117.19899671206
2021-01-07,2021-01-01,2023-12-31,18,2752.2368505109253,2869.4358472229906,102869.435847223
2021-01-08,2021-01-01,2023-12-31,7,505.05363927162125,3374.489486494612,103374.48948649461
2021-01-11,2021-01-01,2023-12-31,2,-489.5503837159875,2884.939102778624,102884.93910277863
2021-01-12,2021-01-01,2023-12-31,2,500.9736940881035,3385.9127968667276,103385.91279686673
2021-01-13,2021-01-01,2023-12-31,3,525.8318671831753,3911.744664049903,103911.7446640499
2021-01-14,2021-01-01,2023-12-31,6,-823.617014900321,3088.127649149582,103088.12764914957
2021-01-15,2021-01-01,2023-12-31,4,1421.2386361096803,4509.366285259262,104509.36628525924
2021-01-18,2021-01-01,2023-12-31,4,-613.2343942651289,3896.1318909941338,103896.13189099412
2021-01-19,2021-01-01,2023-12-31,6,-660.0568620522249,3236.075028941909,103236.07502894192
2021-01-20,2021-01-01,2023-12-31,2,107.92407553725961,3343.9991044791686,103343.99910447918
2021-01-21,2021-01-01,2023-12-31,4,-485.17008176553725,2858.8290227136313,102858.82902271365
2021-01-22,2021-01-01,2023-12-31,5,-709.9597247373974,2148.8692979762336,102148.86929797623
2021-01-25,2021-01-01,2023-12-31,1,-654.8781931547517,1493.991104821482,101493.99110482147
2021-01-26,2021-01-01,2023-12-31,3,-126.92936178263665,1367.0617430388452,101367.06174303885
2021-01-27,2021-01-01,2023-12-31,6,1561.5251580321544,2928.5869010709994,102928.58690107102
2021-01-28,2021-01-01,2023-12-31,11,-2371.260118312739,557.3267827582604,100557.32678275827
2021-01-29,2021-01-01,2023-12-31,14,977.7015531133602,1535.0283358716206,101535.02833587161
2021-02-01,2021-01-01,2023-12-31,11,1795.8687400442636,3330.897075915884,103330.89707591587
2021-02-02,2021-01-01,2023-12-31,10,-892.2148102856929,2438.682265630191,102438.6822656302
2021-02-03,2021-01-01,2023-12-31,7,-2275.0305232840938,163.6517423460973,100163.6517423461
2021-02-04,2021-01-01,2023-12-31,8,406.123271139371,569.7750134854683,100569.77501348547
2021-02-05,2021-01-01,2023-12-31,5,1436.3911459693315,2006.1661594548,102006.16615945482
2021-02-08,2021-01-01,2023-12-31,4,-943.0985896410099,1063.0675698137902,101063.06756981381
2021-02-09,2021-01-01,2023-12-31,3,-115.6269065254184,947.4406632883718,100947.44066328838
2021-02-12,2021-01-01,2023-12-31,1,266.0471726549258,1213.4878359432976,101213.4878359433
2021-02-15,2021-01-01,2023-12-31,2,-382.69522868848287,830.7926072548147,100830.79260725483
2021-02-16,2021-01-01,2023-12-31,2,50.206090671482116,880.9986979262968,100880.9986979263
