date,ticker,direction,entry_price,stop_price,exit_price,exit_type,atr_multiplier,shares,gross_pnl,costs,net_pnl,capital_after
2021-01-04,ABB_5_min,long,232.0,227.33928571428572,233.7,eod,1.5,214.55938697318044,364.7509578544043,59.95218390804607,304.7987739463582,100304.79877394636
2021-01-04,ALFA_LAVAL_5_MIN,long,227.9,221.06964285714287,229.0,eod,1.5,146.85147010041828,161.53661711045928,40.25786201332866,121.27875509713061,100426.07752904348
2021-01-04,BOLIDEN_5_min,long,271.446607,263.62960278571427,277.66364,eod,1.5,128.4713104612547,798.7103766908675,42.32694781187594,756.3834288789916,101182.46095792248
2021-01-04,ERICSSON_5_MIN,short,98.8,102.26928571428572,99.52,eod,1.5,291.65214194171574,-209.989542198035,34.70427167392864,-244.69381387196364,100937.76714405051
2021-01-04,GETINGE_5_min,long,195.3,190.6125,195.15,eod,1.5,215.3339032406411,-32.30008548609739,50.44627351218499,-82.74635899828237,100855.02078505223
2021-01-04,HM_5_min,long,174.35,168.29642857142858,170.8,eod,1.5,166.60416412870018,-591.4447826568828,34.50205634941252,-625.9468390062954,100229.07394604593
2021-01-04,INVESTOR_5_MIN,long,151.4,148.01964285714286,152.25,eod,1.5,296.50439202211095,252.0287332187926,54.02013518250838,198.00859803628424,100427.08254408221
2021-01-04,NORDEA_5_min,long,67.76,65.67875000000001,66.79,eod,1.5,482.53252874033564,-468.056552878125,38.9548510452073,-507.0114039233323,99920.07114015888
2021-01-04,SEB_5_MIN,long,85.4,82.13214285714287,84.42,eod,1.5,305.7663379152407,-299.6510111569371,31.155143702859704,-330.80615485979683,99589.26498529909
2021-01-04,SKF_5_min,long,216.0,210.225,215.8,eod,1.5,172.44894369748744,-34.48978873949552,44.678072333145046,-79.16786107264056,99510.09712422645
2021-01-04,VOLVO_5_MIN,long,196.15,191.45714285714286,197.2,eod,1.5,212.04586906227826,222.64816251538855,50.04494555738828,172.60321695800027,99682.70034118445
2021-01-04,ATLAS_5_min,long,93.40000011,90.5955358425,94.92500016,eod,1.5,355.4429325285908,542.0504898782485,40.163274218649875,501.88721565959867,100184.58755684405
2021-01-04,ESSITY_5_min,long,267.5,260.49285714285713,267.8,eod,1.5,142.97494656430325,42.8924839692926,45.92069333752291,-3.028209368230314,100181.55934747582
2021-01-04,KINNEVIK_5_min,long,212.23072645,204.77007258464283,215.93618432,eod,1.5,134.2798649494509,497.5683823594805,34.49651697241152,463.07186538706895,100644.63121286289
2021-01-04,ASSA_5_min,long,205.4,199.80714285714285,203.1,eod,1.5,179.95208645978,-413.88979885749603,44.10625639129207,-457.9960552487881,100186.6351576141
2021-01-04,HEXAGON_5_min,long,108.599891,105.4835675,108.514177,eod,1.5,321.4898426226107,-27.55618037055312,41.87998053148487,-69.43616090203798,100117.19899671206
2021-01-07,ALFA_LAVAL_5_MIN,long,230.2,223.14464285714286,232.3,eod,1.5,141.9023827845073,297.9950038474685,39.377911222700774,258.61709262476774,100375.81608933683
2021-01-07,ATLAS_5_min,long,99.25000006,96.23660720285714,98.92500016,eod,1.5,333.0990045038729,-108.25714315386116,39.607137174502064,-147.86428032836324,100227.95180900847
2021-01-07,BOLIDEN_5_min,long,287.080615,278.37219817857147,290.463412,eod,1.5,115.09319531235617,389.3369158230505,39.882832500597424,349.4540833224531,100577.40589233093
