date,period_start,period_end,trades,net_pnl,cumulative_pnl,capital
2021-01-04,2021-01-01,2023-12-31,16,302.4678874367145,302.4678874367145,100302.46788743674
2021-01-07,2021-01-01,2023-12-31,18,7030.297697744347,7332.765585181061,107332.76558518109
2021-01-08,2021-01-01,2023-12-31,7,756.559195924488,8089.32478110555,108089.32478110558
2021-01-11,2021-01-01,2023-12-31,2,-292.955730633156,7796.369050472394,107796.36905047242
2021-01-12,2021-01-01,2023-12-31,2,1578.0212651947186,9374.390315667111,109374.39031566714
2021-01-13,2021-01-01,2023-12-31,3,1664.9630112063276,11039.353326873439,111039.35332687346
2021-01-14,2021-01-01,2023-12-31,6,-2273.0855736593403,8766.267753214099,108766.26775321411
2021-01-15,2021-01-01,2023-12-31,4,4543.36990095162,13309.63765416572,113309.63765416574
2021-01-18,2021-01-01,2023-12-31,4,-3814.6126438381452,9495.025010327574,109495.0250103276
2021-01-19,2021-01-01,2023-12-31,6,-1651.3973027071677,7843.627707620406,107843.62770762044
2021-01-20,2021-01-01,2023-12-31,2,336.6506628639968,8180.278370484402,108180.27837048443
2021-01-21,2021-01-01,2023-12-31,4,-3641.1792267479495,4539.099143736453,104539.09914373649
2021-01-22,2021-01-01,2023-12-31,5,-2153.7462659371026,2385.35287779935,102385.35287779936
2021-01-25,2021-01-01,2023-12-31,1,-1201.7534681059526,1183.5994096933975,101183.59940969342
2021-01-26,2021-01-01,2023-12-31,3,-2607.8338278820784,-1424.2344181886808,98575.76558181134
2021-01-27,2021-01-01,2023-12-31,6,4324.628404031632,2900.393985842951,102900.39398584297
2021-01-28,2021-01-01,2023-12-31,11,-1526.7662181021522,1373.627767740799,101373.6277677408
2021-01-29,2021-01-01,2023-12-31,14,-1995.2990647776644,-621.6712970368653,99378.32870296313
2021-02-01,2021-01-01,2023-12-31,11,4949.548973526607,4327.877676489742,104327.87767648976
2021-02-02,2021-01-01,2023-12-31,10,-950.9054078760455,3376.9722686136965,103376.97226861374
2021-02-03,2021-01-01,2023-12-31,7,-2473.0348320325343,903.9374365811623,100903.9374365812
2021-02-04,2021-01-01,2023-12-31,8,-2183.0080169478574,-1279.0705803666951,98720.92941963334
2021-02-05,2021-01-01,2023-12-31,5,4266.150398396342,2987.079818029647,102987.07981802968
2021-02-08,2021-01-01,2023-12-31,4,-3912.712109765139,-925.6322917354919,99074.36770826454
2021-02-09,2021-01-01,2023-12-31,3,-342.6850781965243,-1268.3173699320162,98731.68263006801
2021-02-12,2021-01-01,2023-12-31,1,780.6226143803235,-487.69475555169265,99512.30524444833
2021-02-15,2021-01-01,2023-12-31,2,-1126.7923990007532,-1614.4871545524459,98385.51284544758
2021-02-16,2021-01-01,2023-12-31,2,754.7369005142368,-859.750254038209,99140.24974596182
