date,period_start,period_end,trades,net_pnl,cumulative_pnl,capital
2009-02-23,2009-01-01,2011-12-31,2,938.675067457353,938.675067457353,100938.67506745736
2009-02-24,2009-01-01,2011-12-31,4,-2597.8617931363424,-1659.1867256789894,98340.81327432102
2009-02-25,2009-01-01,2011-12-31,5,-3233.49612188042,-4892.682847559409,95107.31715244058
2009-02-26,2009-01-01,2011-12-31,2,2992.0658257243267,-1900.6170218350826,98099.38297816491
2009-02-27,2009-01-01,2011-12-31,2,-1081.8391128375201,-2982.4561346726027,97017.54386532739
2009-03-02,2009-01-01,2011-12-31,5,-4111.502043024662,-7093.958177697265,92906.04182230274
2009-03-03,2009-01-01,2011-12-31,1,44.23203472617387,-7049.726142971091,92950.27385702891
2009-03-04,2009-01-01,2011-12-31,4,4773.513059758739,-2276.213083212352,97723.78691678765
2009-03-05,2009-01-01,2011-12-31,2,-1506.3810061905428,-3782.594089402895,96217.4059105971
2009-03-06,2009-01-01,2011-12-31,1,-434.93663380033934,-4217.530723203235,95782.46927679675
2009-03-12,2009-01-01,2011-12-31,2,-2010.7651752353627,-6228.295898438597,93771.70410156138
2009-03-13,2009-01-01,2011-12-31,6,-2037.824301568923,-8266.120200007519,91733.87979999246
2009-03-17,2009-01-01,2011-12-31,1,1206.619361398724,-7059.500838608795,92940.49916139118
2009-03-18,2009-01-01,2011-12-31,4,2737.161722878161,-4322.339115730634,95677.66088426934
2009-03-20,2009-01-01,2011-12-31,7,-1665.2920874606689,-5987.631203191303,94012.36879680867
2009-03-24,2009-01-01,2011-12-31,5,757.2401800547115,-5230.391023136592,94769.60897686338
2009-03-25,2009-01-01,2011-12-31,2,-1991.2027599257349,-7221.593783062326,92778.40621693764
2009-03-26,2009-01-01,2011-12-31,3,-1370.1426949738518,-8591.736478036179,91408.26352196379
2009-03-27,2009-01-01,2011-12-31,1,1154.072151110169,-7437.664326926009,92562.33567307396
2009-03-30,2009-01-01,2011-12-31,1,664.947250067436,-6772.717076858573,93227.28292314139
2009-04-01,2009-01-01,2011-12-31,2,-1967.4095829242283,-8740.126659782802,91259.87334021716
2009-04-02,2009-01-01,2011-12-31,4,1850.0276129653298,-6890.099046817471,93109.9009531825
2009-04-03,2009-01-01,2011-12-31,3,-2918.706871853604,-9808.805918671074,90191.1940813289
2009-04-08,2009-01-01,2011-12-31,3,-2820.4406213496345,-12629.24654002071,87370.75345997927
2009-04-15,2009-01-01,2011-12-31,7,-2183.3641754004966,-14812.610715421206,85187.38928457878
2009-04-17,2009-01-01,2011-12-31,3,-2120.577630704986,-16933.188346126193,83066.8116538738
2009-04-20,2009-01-01,2011-12-31,2,3821.57412014299,-13111.614225983203,86888.38577401679
2009-04-21,2009-01-01,2011-12-31,2,-1399.7231603670011,-14511.337386350204,85488.6626136498
2009-04-22,2009-01-01,2011-12-31,2,806.9578070620743,-13704.37957928813,86295.62042071186
2009-04-24,2009-01-01,2011-12-31,1,1112.9949096060805,-12591.38466968205,87408.61533031793
2009-05-04,2009-01-01,2011-12-31,4,-340.99219568546164,-12932.37686536751,87067.62313463245
2009-05-07,2009-01-01,2011-12-31,3,5063.151516202156,-7869.225349165355,92130.7746508346
2009-05-08,2009-01-01,2011-12-31,2,-1500.4886048911312,-9369.713954056486,90630.28604594347
2009-05-11,2009-01-01,2011-12-31,2,1103.3433256481567,-8266.37062840833,91733.62937159164
2009-05-12,2009-01-01,2011-12-31,1,-984.2044931831514,-9250.57512159148,90749.42487840849
2009-05-13,2009-01-01,2011-12-31,1,1324.882738732953,-7925.692382858528,92074.30761714144
2009-05-14,2009-01-01,2011-12-31,2,-1892.106997754111,-9817.79938061264,90182.20061938732
2009-05-15,2009-01-01,2011-12-31,3,495.2006785158153,-9322.598702096824,90677.40129790314
2009-05-18,2009-01-01,2011-12-31,1,-961.534199057133,-10284.132901153956,89715.867098846
2009-05-19,2009-01-01,2011-12-31,2,-142.56097159543242,-10426.693872749389,89573.30612725057
2009-05-22,2009-01-01,2011-12-31,3,-2037.0732684124696,-12463.767141161858,87536.2328588381
2009-05-25,2009-01-01,2011-12-31,1,1117.4086497872258,-11346.35849137463,88653.64150862533
2009-05-27,2009-01-01,2011-12-31,1,795.8508540221437,-10550.507637352486,89449.49236264746
2009-05-28,2009-01-01,2011-12-31,2,-1566.3863726796665,-12116.894010032152,87883.1059899678
2009-05-29,2009-01-01,2011-12-31,3,-909.4371434632556,-13026.331153495408,86973.66884650454
2009-06-01,2009-01-01,2011-12-31,4,-757.0904484200242,-13783.421601915432,86216.57839808453
2009-06-02,2009-01-01,2011-12-31,3,-1051.000937352881,-14834.422539268313,85165.57746073166
2009-06-03,2009-01-01,2011-12-31,4,4956.006798558789,-9878.415740709523,90121.58425929044
2009-06-04,2009-01-01,2011-12-31,1,-978.9398315219171,-10857.35557223144,89142.64442776852
