date,period_start,period_end,trades,net_pnl,cumulative_pnl,capital
2015-01-07,2015-01-01,2017-12-31,1,-330.72146914087,-330.72146914087,99669.27853085913
2015-01-13,2015-01-01,2017-12-31,1,18.38178035147972,-312.33968878939027,99687.66031121061
2015-01-14,2015-01-01,2017-12-31,1,1996.5469493974915,1684.2072606081013,101684.2072606081
2015-01-23,2015-01-01,2017-12-31,1,410.37317581326,2094.5804364213614,102094.58043642137
2015-01-28,2015-01-01,2017-12-31,1,511.0776753760531,2605.6581117974147,102605.65811179743
2015-01-29,2015-01-01,2017-12-31,1,-761.6484378829862,1844.0096739144285,101844.00967391444
2015-02-03,2015-01-01,2017-12-31,1,-545.5499169015359,1298.4597570128926,101298.4597570129
2015-02-04,2015-01-01,2017-12-31,1,309.4005981261987,1607.8603551390913,101607.8603551391
2015-02-05,2015-01-01,2017-12-31,1,-545.7492135921042,1062.1111415469873,101062.111141547
2015-02-06,2015-01-01,2017-12-31,3,-826.0591725149183,236.051969032069,100236.05196903208
2015-02-12,2015-01-01,2017-12-31,1,812.8556446877925,1048.9076137198615,101048.90761371987
2015-03-04,2015-01-01,2017-12-31,1,54.209163939139685,1103.1167776590012,101103.11677765902
2015-03-11,2015-01-01,2017-12-31,2,1394.2041224183724,2497.3209000773736,102497.32090007738
2015-03-19,2015-01-01,2017-12-31,1,-116.66768781741612,2380.6532122599574,102380.65321225996
2015-04-07,2015-01-01,2017-12-31,2,-211.2957599674677,2169.3574522924896,102169.35745229249
2015-04-16,2015-01-01,2017-12-31,1,209.53280892456144,2378.890261217051,102378.89026121705
2015-04-17,2015-01-01,2017-12-31,2,-1104.3923962930523,1274.4978649239986,101274.497864924
2015-04-21,2015-01-01,2017-12-31,1,198.19069451101876,1472.6885594350174,101472.68855943502
2015-04-22,2015-01-01,2017-12-31,1,-1064.5609035050315,408.12765592998585,100408.12765592999
2015-04-23,2015-01-01,2017-12-31,2,-311.2323664942021,96.89528943578375,100096.89528943578
2015-04-29,2015-01-01,2017-12-31,1,726.4309524449937,823.3262418807775,100823.32624188077
2015-05-04,2015-01-01,2017-12-31,1,155.46374196182936,978.7899838426068,100978.7899838426
2015-06-22,2015-01-01,2017-12-31,2,227.66011116034707,1206.450095002954,101206.45009500293
2015-06-25,2015-01-01,2017-12-31,1,165.84226583837594,1372.2923608413298,101372.29236084131
2015-07-10,2015-01-01,2017-12-31,1,-660.2606243629721,712.0317364783577,100712.03173647834
2015-07-13,2015-01-01,2017-12-31,1,73.5660465316335,785.5977830099912,100785.59778300997
2015-07-14,2015-01-01,2017-12-31,1,148.87616906924498,934.4739520792361,100934.47395207922
2015-07-15,2015-01-01,2017-12-31,2,663.5772768005484,1598.0512288797845,101598.05122887978
2015-07-16,2015-01-01,2017-12-31,1,507.64268861408175,2105.693917493866,102105.69391749386
2015-08-03,2015-01-01,2017-12-31,1,-387.1524221641043,1718.5414953297618,101718.54149532976
2015-08-05,2015-01-01,2017-12-31,1,-460.2918996383776,1258.2495956913842,101258.24959569138
2015-08-24,2015-01-01,2017-12-31,4,-691.6013541551082,566.648241536276,100566.64824153627
2015-08-27,2015-01-01,2017-12-31,1,542.3982249968083,1109.0464665330842,101109.04646653308
2015-08-28,2015-01-01,2017-12-31,1,-301.35464402136455,807.6918225117197,100807.69182251171
2015-10-08,2015-01-01,2017-12-31,1,-382.8036645721073,424.88815793961237,100424.88815793961
2015-10-09,2015-01-01,2017-12-31,1,535.6899283247851,960.5780862643975,100960.5780862644
2015-10-21,2015-01-01,2017-12-31,1,-1045.9476013027513,-85.36951503835382,99914.63048496166
2015-10-23,2015-01-01,2017-12-31,1,263.0854149756034,177.71589993724956,100177.71589993726
2015-10-27,2015-01-01,2017-12-31,2,-105.5289352168092,72.18696472044036,100072.18696472046
2015-11-02,2015-01-01,2017-12-31,1,181.2214455448322,253.40841026527255,100253.40841026529
2015-12-04,2015-01-01,2017-12-31,1,-170.91732020117865,82.4910900640939,100082.49109006411
