date,period_start,period_end,trades,net_pnl,cumulative_pnl,capital
2009-02-23,2009-01-01,2011-12-31,2,362.0306724500899,362.0306724500899,100362.03067245008
2009-02-24,2009-01-01,2011-12-31,4,-1334.8512643499714,-972.8205918998815,99027.17940810011
2009-02-25,2009-01-01,2011-12-31,5,-1907.1109383804455,-2879.931530280327,97120.06846971967
2009-02-26,2009-01-01,2011-12-31,2,1520.5863062453102,-1359.3452240350168,98640.65477596498
2009-02-27,2009-01-01,2011-12-31,2,-572.4098810558802,-1931.755105090897,98068.2448949091
2009-03-02,2009-01-01,2011-12-31,5,-1822.6893270394742,-3754.444432130371,96245.55556786963
2009-03-03,2009-01-01,2011-12-31,1,22.910979052688088,-3731.5334530776827,96268.46654692231
2009-03-04,2009-01-01,2011-12-31,4,2449.4406981420866,-1282.092754935596,98717.90724506439
2009-03-05,2009-01-01,2011-12-31,2,339.7227884768745,-942.3699664587216,99057.63003354127
2009-03-06,2009-01-01,2011-12-31,1,-223.8877246340452,-1166.257691092767,98833.74230890723
2009-03-12,2009-01-01,2011-12-31,2,-927.4709395136051,-2093.728630606372,97906.27136939361
2009-03-13,2009-01-01,2011-12-31,6,-1771.977403107809,-3865.706033714181,96134.29396628581
2009-03-17,2009-01-01,2011-12-31,1,632.250051164445,-3233.4559825497363,96766.54401745026
2009-03-18,2009-01-01,2011-12-31,4,1500.4724100784726,-1732.9835724712636,98267.01642752872
2009-03-20,2009-01-01,2011-12-31,7,-1072.748819414513,-2805.7323918857765,97194.26760811421
2009-03-24,2009-01-01,2011-12-31,5,-279.6593865919185,-3085.391778477695,96914.6082215223
2009-03-25,2009-01-01,2011-12-31,2,-220.31729581001673,-3305.7090742877117,96694.29092571228
2009-03-26,2009-01-01,2011-12-31,3,-967.6997731145755,-4273.408847402287,95726.59115259771
2009-03-27,2009-01-01,2011-12-31,1,602.9324297571079,-3670.4764176451795,96329.52358235483
2009-03-30,2009-01-01,2011-12-31,1,346.77555777803764,-3323.700859867142,96676.29914013286
2009-04-01,2009-01-01,2011-12-31,2,-362.37757362918734,-3686.078433496329,96313.92156650368
2009-04-02,2009-01-01,2011-12-31,4,8.67377529595251,-3677.4046582003766,96322.59534179962
2009-04-03,2009-01-01,2011-12-31,3,-2941.0169314144878,-6618.421589614864,93381.57841038513
2009-04-08,2009-01-01,2011-12-31,3,-1548.8949818681863,-8167.31657148305,91832.68342851693
2009-04-15,2009-01-01,2011-12-31,7,-1099.3307429604847,-9266.647314443535,90733.35268555644
2009-04-17,2009-01-01,2011-12-31,3,-1584.608875235047,-10851.256189678581,89148.7438103214
2009-04-20,2009-01-01,2011-12-31,2,2047.4739504605086,-8803.782239218071,91196.2177607819
2009-04-21,2009-01-01,2011-12-31,2,-281.4926179294379,-9085.27485714751,90914.72514285246
2009-04-22,2009-01-01,2011-12-31,2,414.62620217540274,-8670.648654972107,91329.35134502787
2009-04-24,2009-01-01,2011-12-31,1,588.9586438400785,-8081.690011132028,91918.30998886794
2009-05-04,2009-01-01,2011-12-31,4,-335.70944220940515,-8417.399453341433,91582.60054665853
2009-05-07,2009-01-01,2011-12-31,3,2647.431941589839,-5769.967511751594,94230.03248824837
2009-05-08,2009-01-01,2011-12-31,2,-587.4036672924915,-6357.371179044086,93642.62882095587
2009-05-11,2009-01-01,2011-12-31,2,569.8247214793255,-5787.54645756476,94212.45354243519
2009-05-12,2009-01-01,2011-12-31,1,81.48675366618264,-5706.059703898578,94293.94029610137
