date,period_start,period_end,trades,net_pnl,cumulative_pnl,capital
2015-01-02,2015-01-01,2017-12-31,3,1932.8620668592032,1932.8620668592032,101932.8620668592
2015-01-07,2015-01-01,2017-12-31,13,-5478.7829065267,-3545.9208396674967,96454.07916033249
2015-01-08,2015-01-01,2017-12-31,6,-2865.4584117027807,-6411.379251370277,93588.6207486297
2015-01-09,2015-01-01,2017-12-31,3,1773.2551084679314,-4638.124142902346,95361.87585709764
2015-01-12,2015-01-01,2017-12-31,2,92.07009622020064,-4546.054046682145,95453.94595331785
2015-01-13,2015-01-01,2017-12-31,5,1058.476262163721,-3487.577784518424,96512.42221548155
2015-01-14,2015-01-01,2017-12-31,7,8214.55734650867,4726.979561990247,104726.9795619902
2015-01-15,2015-01-01,2017-12-31,3,-1227.1366896219097,3499.8428723683373,103499.84287236829
2015-01-19,2015-01-01,2017-12-31,3,-3085.131141627686,414.71173074065155,100414.7117307406
2015-01-20,2015-01-01,2017-12-31,3,-2372.4330994343336,-1957.721368693682,98042.27863130627
2015-01-21,2015-01-01,2017-12-31,5,-1796.4538151353465,-3754.1751838290284,96245.82481617092
2015-01-22,2015-01-01,2017-12-31,4,2387.7141984423606,-1366.4609853866677,98633.53901461328
2015-01-23,2015-01-01,2017-12-31,8,594.6059351944128,-771.8550501922549,99228.14494980768
2015-01-26,2015-01-01,2017-12-31,3,-1686.2814715937925,-2458.1365217860475,97541.86347821388
2015-01-27,2015-01-01,2017-12-31,4,2863.421463599696,405.2849418136484,100405.28494181357
2015-01-28,2015-01-01,2017-12-31,7,-1051.9408105761765,-646.6558687625281,99353.3441312374
2015-01-29,2015-01-01,2017-12-31,10,-9332.180373373438,-9978.836242135965,90021.16375786398
2015-01-30,2015-01-01,2017-12-31,10,-2180.7688341496323,-12159.605076285598,87840.39492371434
2015-02-02,2015-01-01,2017-12-31,2,-860.5095595789,-13020.114635864498,86979.88536413544
2015-02-03,2015-01-01,2017-12-31,4,610.7343895082471,-12409.380246356252,87590.6197536437
2015-02-04,2015-01-01,2017-12-31,9,83.08958128780682,-12326.290665068445,87673.7093349315
2015-02-05,2015-01-01,2017-12-31,6,-3182.4083143991493,-15508.698979467594,84491.30102053234
2015-02-06,2015-01-01,2017-12-31,5,-903.1450505511331,-16411.84403001873,83588.1559699812
2015-02-09,2015-01-01,2017-12-31,6,373.09037171435267,-16038.753658304377,83961.24634169556
2015-02-10,2015-01-01,2017-12-31,3,-1039.5383537914643,-17078.29201209584,82921.7079879041
2015-02-11,2015-01-01,2017-12-31,1,-450.90820299402395,-17529.200215089866,82470.79978491008
2015-02-12,2015-01-01,2017-12-31,3,3644.6270331782034,-13884.573181911663,86115.42681808828
2015-02-13,2015-01-01,2017-12-31,3,1988.8116651630846,-11895.761516748578,88104.23848325136
2015-02-16,2015-01-01,2017-12-31,4,-1213.920782397602,-13109.68229914618,86890.31770085378
2015-02-17,2015-01-01,2017-12-31,1,-363.3855497424223,-13473.067848888602,86526.93215111135
2015-02-18,2015-01-01,2017-12-31,3,132.0919092695076,-13340.975939619095,86659.02406038086
2015-02-19,2015-01-01,2017-12-31,2,-1915.363450835814,-15256.339390454908,84743.66060954506
2015-02-20,2015-01-01,2017-12-31,4,-1567.0544979764868,-16823.393888431394,83176.60611156857
2015-02-23,2015-01-01,2017-12-31,7,-1233.4983271261124,-18056.892215557506,81943.10778444244
2015-02-24,2015-01-01,2017-12-31,2,-1863.4415244563916,-19920.3337400139,80079.66625998606
2015-02-25,2015-01-01,2017-12-31,1,-902.1839478843008,-20822.5176878982,79177.48231210175
2015-02-26,2015-01-01,2017-12-31,1,-317.6002848350539,-21140.117972733253,78859.8820272667
2015-02-27,2015-01-01,2017-12-31,2,1835.5650635803113,-19304.552909152942,80695.44709084702
2015-03-02,2015-01-01,2017-12-31,7,-3493.51269027933,-22798.065599432273,77201.93440056771
2015-03-03,2015-01-01,2017-12-31,3,-338.07781072786315,-23136.143410160137,76863.85658983984
2015-03-04,2015-01-01,2017-12-31,12,-4977.712565916617,-28113.855976076753,71886.14402392323
2015-03-05,2015-01-01,2017-12-31,5,-1396.1145081198117,-29509.970484196565,70490.02951580343
2015-03-06,2015-01-01,2017-12-31,3,-329.40514019284893,-29839.375624389413,70160.62437561058
2015-03-09,2015-01-01,2017-12-31,6,-3958.3017390633504,-33797.67736345276,66202.32263654722
2015-03-10,2015-01-01,2017-12-31,4,-2067.481773595687,-35865.15913704845,64134.84086295153
2015-03-11,2015-01-01,2017-12-31,11,11253.221643027839,-24611.937494020614,75388.06250597937
2015-03-12,2015-01-01,2017-12-31,8,-1174.7866392870524,-25786.724133307667,74213.27586669233
