date,period_start,period_end,trades,net_pnl,cumulative_pnl,capital
2018-01-11,2018-01-01,2020-12-31,1,-338.9318392262681,-338.9318392262681,99661.06816077374
2018-01-23,2018-01-01,2020-12-31,1,-43.68691619151565,-382.61875541778375,99617.38124458223
2018-01-25,2018-01-01,2020-12-31,1,92.36372726421081,-290.25502815357294,99709.74497184643
2018-01-31,2018-01-01,2020-12-31,2,5726.444570299108,5436.189542145535,105436.18954214554
2018-02-05,2018-01-01,2020-12-31,1,-364.93700892612617,5071.252533219408,105071.25253321942
2018-02-06,2018-01-01,2020-12-31,2,796.7556843849158,5868.008217604324,105868.00821760434
2018-02-07,2018-01-01,2020-12-31,2,251.66772429438765,6119.675941898712,106119.67594189872
2018-02-14,2018-01-01,2020-12-31,1,-183.50914428244639,5936.166797616266,105936.16679761627
2018-03-07,2018-01-01,2020-12-31,1,-298.50145869097776,5637.665338925289,105637.66533892529
2018-03-21,2018-01-01,2020-12-31,1,6.597369436535157,5644.262708361824,105644.26270836183
2018-03-22,2018-01-01,2020-12-31,1,690.2081127287869,6334.47082109061,106334.47082109061
2018-03-27,2018-01-01,2020-12-31,1,3.673809086101251,6338.144630176711,106338.14463017671
2018-04-03,2018-01-01,2020-12-31,1,-832.1238520065931,5506.020778170117,105506.02077817012
2018-04-19,2018-01-01,2020-12-31,1,-122.81454214359599,5383.206236026522,105383.20623602653
2018-04-20,2018-01-01,2020-12-31,1,374.75258660289467,5757.958822629416,105757.95882262941
2018-04-25,2018-01-01,2020-12-31,2,-540.2432989139564,5217.71552371546,105217.71552371545
2018-04-27,2018-01-01,2020-12-31,1,468.60816310985894,5686.323686825319,105686.32368682532
2018-05-02,2018-01-01,2020-12-31,1,265.1928455744785,5951.516532399797,105951.5165323998
2018-05-11,2018-01-01,2020-12-31,1,-357.32177287961787,5594.194759520179,105594.19475952018
2018-06-07,2018-01-01,2020-12-31,5,-200.67698430832155,5393.517775211858,105393.51777521186
2018-06-11,2018-01-01,2020-12-31,1,418.0580142542479,5811.575789466106,105811.57578946611
2018-06-18,2018-01-01,2020-12-31,1,-228.63625494952464,5582.939534516581,105582.93953451658
2018-06-28,2018-01-01,2020-12-31,1,880.0421453857679,6462.981679902349,106462.98167990235
2018-06-29,2018-01-01,2020-12-31,1,860.6080849781142,7323.589764880464,107323.58976488047
2018-07-17,2018-01-01,2020-12-31,3,-1680.3878668395698,5643.201898040894,105643.2018980409
2018-07-18,2018-01-01,2020-12-31,3,324.32185385743156,5967.523751898326,105967.52375189833
2018-07-19,2018-01-01,2020-12-31,4,-961.3486591209396,5006.175092777386,105006.1750927774
2018-07-31,2018-01-01,2020-12-31,1,820.7659145816184,5826.941007359005,105826.94100735901
2018-08-07,2018-01-01,2020-12-31,1,-1110.6824994613503,4716.258507897655,104716.25850789766
2018-08-09,2018-01-01,2020-12-31,1,468.7966107723272,5185.055118669982,105185.05511866999
2018-08-21,2018-01-01,2020-12-31,1,31.271184035605216,5216.326302705587,105216.3263027056
2018-08-30,2018-01-01,2020-12-31,1,444.80644072336787,5661.132743428955,105661.13274342896
2018-09-03,2018-01-01,2020-12-31,1,-349.73524747581587,5311.397495953139,105311.39749595313
2018-09-11,2018-01-01,2020-12-31,1,-1108.9800919962006,4202.417403956938,104202.41740395693
2018-09-17,2018-01-01,2020-12-31,1,-1082.9508108194461,3119.466593137492,103119.46659313749
2018-09-18,2018-01-01,2020-12-31,2,3176.3483784225546,6295.814971560047,106295.81497156004
2018-09-26,2018-01-01,2020-12-31,1,436.99727840129145,6732.812249961338,106732.81224996134
2018-09-27,2018-01-01,2020-12-31,1,627.7739025577831,7360.586152519121,107360.58615251913
2018-09-28,2018-01-01,2020-12-31,1,-262.3543710620422,7098.231781457079,107098.23178145709
2018-10-01,2018-01-01,2020-12-31,2,-501.009401074934,6597.222380382145,106597.22238038215
