date,ticker,direction,entry_price,stop_price,exit_price,exit_type,shares,gross_pnl,costs,net_pnl,capital_after
2009-02-23,BOLIDEN_5_min,long,22.730333,22.55853397857143,22.55853397857143,stop,5820.754924472958,-1000.0,158.16923729359223,-1158.1692372935922,98841.8307627064
2009-02-23,ERICSSON_5_MIN,short,73.7,74.01285714285714,74.01285714285714,stop,3159.3279239221465,-988.4183076270641,280.0040125762509,-1268.422320203315,97573.40844250309
2009-02-24,ASSA_5_min,long,25.499975,25.346403714285714,25.346403714285714,stop,6353.623204277611,-975.7340844250309,193.83523899154375,-1169.5693234165747,96403.83911908651
2009-02-24,BOLIDEN_5_min,short,20.792087,20.971437628571426,20.971437628571426,stop,5375.16037088731,-964.038391190865,134.69138551924397,-1098.729776710109,95305.1093423764
2009-02-24,ERICSSON_5_MIN,long,69.3,68.975,68.975,stop,2932.464902842325,-953.051093423764,243.29195066431348,-1196.3430440880775,94108.76629828832
2009-02-24,HM_5_min,long,163.0,162.48214285714286,162.48214285714286,stop,1817.2727285186852,-941.0876629828832,354.8938931004651,-1295.9815560833483,92812.78474220497
2009-02-25,ASSA_5_min,long,25.833308,25.682117657142857,25.682117657142857,stop,6138.803774650012,-928.1278474220497,189.74585368606233,-1117.873701108112,91694.91104109686
2009-02-25,ATLAS_5_min,long,13.75000002,13.660446451071428,13.660446451071428,stop,10239.112984344883,-916.9491104109686,168.3951950211827,-1085.3443054321513,90609.5667356647
2009-02-25,ERICSSON_5_MIN,long,70.6,70.2792857142857,70.2792857142857,stop,2825.2426153659135,-906.0956673566469,238.81089697338615,-1144.906564330033,89464.66017133468
2009-02-25,BOLIDEN_5_min,long,23.082741,22.89520947142857,22.89520947142857,stop,4770.646346929227,-894.6466017133467,131.60672487348813,-1026.2533265868349,88438.40684474783
2009-02-25,HM_5_min,long,165.0,164.49285714285713,164.49285714285713,stop,1743.8559096147126,-884.3840684474784,344.7528396626446,-1229.136908110123,87209.2699366377
2009-02-26,INVESTOR_5_MIN,long,24.9375,24.828125,24.828125,stop,7973.418965635447,-872.092699366377,238.08130692702093,-1110.174006293398,86099.09593034431
2009-02-26,ABB_5_min,long,104.75,104.24464285714286,108.0,eod,1703.727693321324,5537.115003294303,217.480840052467,5319.634163241836,91418.73009358614
2009-02-27,ABB_5_min,short,107.25,107.77142857142857,107.77142857142857,stop,1753.2359196030193,-914.1873009358615,226.18997523347008,-1140.3772761693315,90278.35281741682
2009-02-27,INVESTOR_5_MIN,short,25.625,25.740178571428572,25.740178571428572,stop,7838.120554690397,-902.7835281741682,241.56387717363418,-1144.3474053478024,89134.00541206902
2009-03-02,ABB_5_min,long,108.0,107.4875,107.4875,stop,1739.200105601337,-891.3400541206902,224.86552965346087,-1116.2055837741511,88017.79982829487
2009-03-02,ALFA_LAVAL_5_MIN,long,61.5,61.15,61.15,stop,2514.7942808084144,-880.1779982829486,185.0637111246912,-1065.2417094076397,86952.55811888723
2009-03-02,BOLIDEN_5_min,short,21.849312,22.021111021428574,22.021111021428574,stop,5061.29530866034,-869.5255811888724,133.22469973638061,-1002.750280925253,85949.80783796198
2009-03-02,VOLVO_5_MIN,short,36.5,36.785,36.785,stop,3015.782731156597,-859.4980783796199,132.6069824716867,-992.1050608513066,84957.70277711068
2009-03-02,HM_5_min,long,167.5,167.02678571428572,167.02678571428572,stop,1795.3325869880302,-849.5770277711068,360.3521037679314,-1209.9291315390383,83747.77364557164
2009-03-03,ABB_5_min,short,103.25,103.78035714285714,103.78035714285714,stop,1579.0826007245867,-837.4777364557164,196.1508208716497,-1033.628557327366,82714.14508824427
2009-03-04,ALFA_LAVAL_5_MIN,long,61.75,61.4,61.4,stop,2363.261288235541,-827.1414508824428,174.62137658772411,-1001.7628274701669,81712.3822607741
2009-03-04,ATLAS_5_min,long,13.37500019,13.2916966175,14.12500014,eod,9808.988955518555,7356.741226189462,161.84831970823598,7194.892906481226,88907.27516725533
2009-03-04,NORDEA_5_min,long,32.72976,32.53327011428571,32.53327011428571,stop,4524.77616565642,-889.0727516725534,177.1803618957823,-1066.2531135683357,87841.02205368699
2009-03-04,ERICSSON_5_MIN,long,70.9,70.57928571428572,70.57928571428572,stop,2738.918282297567,-878.4102205368699,232.50012132555491,-1110.910341862425,86730.11171182456
2009-03-05,BOLIDEN_5_min,short,25.725803,25.925920542857142,25.925920542857142,stop,4333.958456292772,-867.3011171182457,134.31385441839728,-1001.614971536643,85728.49674028791
2009-03-05,ABB_5_min,long,109.25,108.71428571428571,108.71428571428571,stop,1600.2652724853563,-857.2849674028791,209.28040624238847,-1066.5653736452675,84661.93136664265
2009-03-06,NORDEA_5_min,short,31.56084,31.750093714285715,31.750093714285715,stop,4473.462076354748,-846.6193136664265,169.93143659367982,-1016.5507502601063,83645.38061638254
2009-03-12,VOLVO_5_MIN,short,43.2,43.48214285714286,43.48214285714286,stop,2964.646401593292,-836.4538061638253,154.18914174229457,-990.6429479061198,82654.73766847642
2009-03-12,HM_5_min,long,159.0,158.48214285714286,158.48214285714286,stop,1596.091486011971,-826.5473766847642,304.03832710507317,-1130.5857037898375,81524.15196468658
2009-03-13,ABB_5_min,long,115.5,114.95178571428572,114.95178571428572,stop,1487.0855081506488,-815.2415196468658,205.6209065178918,-1020.8624261647576,80503.28953852181
2009-03-13,ASSA_5_min,long,25.666641,25.548783949999997,25.548783949999997,stop,6830.587524337398,-805.0328953852181,209.89886563026496,-1014.9317610154831,79488.35777750633
2009-03-13,ATLAS_5_min,long,16.00000017,15.899732311785714,15.899732311785714,stop,7927.601047150022,-794.8835777750634,151.73301157584598,-946.6165893509094,78541.74118815543
2009-03-13,ERICSSON_5_MIN,short,77.7,77.99000000000001,77.99000000000001,stop,2708.335903039784,-785.4174118815544,252.9964900465584,-1038.4139019281129,77503.32728622732
2009-03-13,NORDEA_5_min,long,46.1,45.856975964285716,45.856975964285716,stop,3189.1218931671974,-775.0332728622732,175.95720316629198,-950.9904760285651,76552.33681019874
2009-03-13,VOLVO_5_MIN,long,45.9,45.61214285714286,45.61214285714286,stop,2659.386390428749,-765.5233681019874,146.01968836395432,-911.5430564659417,75640.7937537328
2009-03-17,ALFA_LAVAL_5_MIN,short,68.5,68.86785714285715,66.0,eod,2056.25458748009,5140.636468700224,165.9397452096432,4974.696723490581,80615.49047722337
2009-03-18,ASSA_5_min,short,25.499975,25.605927299999998,24.333309,eod,7608.658847162786,8876.763582584013,227.49867431386537,8649.264908270148,89264.75538549352
2009-03-18,BOLIDEN_5_min,short,30.395212,30.62553595714286,29.249885,eod,3875.6174777827105,4438.849338976445,138.69694823834706,4300.152390738098,93564.90777623162
2009-03-18,VOLVO_5_MIN,long,43.6,43.34,43.34,stop,3598.650299085859,-935.6490777623162,187.71999420151474,-1123.369071963831,92441.53870426779
2009-03-18,ERICSSON_5_MIN,short,78.0,78.30071428571429,78.30071428571429,stop,3074.0654200943477,-924.4153870426779,288.2871725530565,-1212.7025595957343,91228.83614467205
2009-03-20,ABB_5_min,long,109.0,108.51071428571429,108.51071428571429,stop,1864.5309577013281,-912.2883614467205,243.33327625046567,-1155.621637697186,90073.21450697487
2009-03-20,ATLAS_5_min,long,13.93749993,13.840624922928571,13.840624922928571,stop,9297.879528469239,-900.7321450697488,154.96659504558426,-1055.698740115333,89017.51576685953
2009-03-20,HM_5_min,long,163.0,162.53392857142856,162.53392857142856,stop,1909.9543612812342,-890.1751576685954,373.0529679720082,-1263.2281256406036,87754.28764121894
2009-03-20,INVESTOR_5_MIN,long,26.6875,26.574107142857144,26.574107142857144,stop,7738.9607998556385,-877.5428764121893,247.3136938895295,-1124.8565703017189,86629.43107091721
2009-03-20,ERICSSON_5_MIN,short,71.3,71.59428571428572,71.59428571428572,stop,2943.7185315359575,-866.2943107091721,252.384334144642,-1118.6786448538141,85510.7524260634
2009-03-20,NORDEA_5_min,short,45.5,45.81829746428571,45.81829746428571,stop,2686.5043558533157,-855.1075242606339,147.1962023441474,-1002.3037266047813,84508.44869945862
