date,period_start,period_end,trades,net_pnl,cumulative_pnl,capital
2015-01-02,2015-01-01,2017-12-31,3,968.0626812695293,968.0626812695293,100968.06268126953
2015-01-07,2015-01-01,2017-12-31,13,-89.07052910480738,878.9921521647219,100878.99215216472
2015-01-08,2015-01-01,2017-12-31,6,-2255.2157176845913,-1376.2235655198692,98623.77643448013
2015-01-09,2015-01-01,2017-12-31,3,932.5706479778656,-443.6529175420036,99556.34708245799
2015-01-12,2015-01-01,2017-12-31,2,12.878277633098605,-430.774639908905,99569.22536009109
2015-01-13,2015-01-01,2017-12-31,5,552.2711366249823,121.49649671607733,100121.49649671608
2015-01-14,2015-01-01,2017-12-31,7,4183.079158642344,4304.5756553584215,104304.57565535844
2015-01-15,2015-01-01,2017-12-31,3,-577.264646550733,3727.3110088076883,103727.31100880771
2015-01-19,2015-01-01,2017-12-31,3,-1212.850552172272,2514.4604566354164,102514.46045663544
2015-01-20,2015-01-01,2017-12-31,3,-504.5747139946813,2009.885742640735,102009.88574264076
2015-01-21,2015-01-01,2017-12-31,5,-259.1943956242336,1750.6913470165014,101750.69134701652
2015-01-22,2015-01-01,2017-12-31,4,2988.634835069591,4739.326182086093,104739.32618208612
2015-01-23,2015-01-01,2017-12-31,8,844.0377150910242,5583.363897177117,105583.36389717716
2015-01-26,2015-01-01,2017-12-31,3,-1586.6285397431034,3996.7353574340136,103996.73535743405
2015-01-27,2015-01-01,2017-12-31,4,991.2084058771219,4987.943763311136,104987.94376331117
2015-01-28,2015-01-01,2017-12-31,7,-2106.3101905139547,2881.633572797181,102881.6335727972
2015-01-29,2015-01-01,2017-12-31,10,-3525.201696677403,-643.5681238802222,99356.4318761198
2015-01-30,2015-01-01,2017-12-31,10,-2055.805505085657,-2699.373628965879,97300.62637103414
2015-02-02,2015-01-01,2017-12-31,2,-444.37052479048464,-3143.7441537563636,96856.25584624366
2015-02-03,2015-01-01,2017-12-31,4,96.43890603843101,-3047.3052477179326,96952.6947522821
2015-02-04,2015-01-01,2017-12-31,9,231.25141655826707,-2816.0538311596656,97183.94616884038
2015-02-05,2015-01-01,2017-12-31,6,-3675.4866530093673,-6491.540484169032,93508.45951583103
2015-02-06,2015-01-01,2017-12-31,5,-1429.6904259348785,-7921.230910103911,92078.76908989614
2015-02-09,2015-01-01,2017-12-31,6,197.01560363691814,-7724.215306466993,92275.78469353306
2015-02-10,2015-01-01,2017-12-31,3,-1032.7415755952438,-8756.956882062237,91243.04311793782
2015-02-11,2015-01-01,2017-12-31,1,-248.20290739204347,-9005.159789454281,90994.84021054578
2015-02-12,2015-01-01,2017-12-31,3,2009.893301053467,-6995.266488400814,93004.73351159925
2015-02-13,2015-01-01,2017-12-31,3,1083.320291659407,-5911.946196741406,94088.05380325865
2015-02-16,2015-01-01,2017-12-31,4,-196.80722391877177,-6108.753420660178,93891.24657933987
2015-02-17,2015-01-01,2017-12-31,1,-196.136968859608,-6304.8903895197855,93695.10961048027
2015-02-18,2015-01-01,2017-12-31,3,-29.96578996543002,-6334.856179485216,93665.14382051484
2015-02-19,2015-01-01,2017-12-31,2,-1555.6773976932836,-7890.533577178499,92109.46642282157
2015-02-20,2015-01-01,2017-12-31,4,-1170.1442171267627,-9060.677794305262,90939.3222056948
2015-02-23,2015-01-01,2017-12-31,7,-348.21958381328693,-9408.897378118549,90591.1026218815
2015-02-24,2015-01-01,2017-12-31,2,-1122.5950122656948,-10531.492390384243,89468.5076096158
2015-02-25,2015-01-01,2017-12-31,1,-951.0538265995515,-11482.546216983794,88517.45378301624
2015-02-26,2015-01-01,2017-12-31,1,-178.2670720248149,-11660.813289008609,88339.18671099143
2015-02-27,2015-01-01,2017-12-31,2,1418.4204821107842,-10242.392806897824,89757.60719310222
2015-03-02,2015-01-01,2017-12-31,7,-804.4714441085639,-11046.864251006387,88953.13574899365
2015-03-03,2015-01-01,2017-12-31,3,-1079.0578406481714,-12125.922091654558,87874.07790834548
2015-03-04,2015-01-01,2017-12-31,12,-2715.772483743192,-14841.69457539775,85158.30542460231
2015-03-05,2015-01-01,2017-12-31,5,-1488.013284641046,-16329.707860038798,83670.29213996127
2015-03-06,2015-01-01,2017-12-31,3,-195.52929627526302,-16525.237156314062,83474.76284368601
2015-03-09,2015-01-01,2017-12-31,6,-2992.7400421088455,-19517.97719842291,80482.02280157717
2015-03-10,2015-01-01,2017-12-31,4,-544.8549689119759,-20062.832167334884,79937.1678326652
2015-03-11,2015-01-01,2017-12-31,11,6801.636320276056,-13261.195847058829,86738.80415294126
2015-03-12,2015-01-01,2017-12-31,8,-359.28107495956954,-13620.476922018399,86379.52307798169
2015-03-13,2015-01-01,2017-12-31,1,-23.659324292839898,-13644.136246311238,86355.86375368886
2015-03-16,2015-01-01,2017-12-31,5,1462.7820910374408,-12181.354155273797,87818.64584472628
2015-03-17,2015-01-01,2017-12-31,5,44.5695404972015,-12136.784614776596,87863.21538522348
2015-03-18,2015-01-01,2017-12-31,6,3.9928480226261343,-12132.79176675397,87867.2082332461
2015-03-19,2015-01-01,2017-12-31,12,-4069.001838343175,-16201.793605097144,83798.20639490294
2015-03-20,2015-01-01,2017-12-31,6,481.5198357849124,-15720.27376931223,84279.72623068784
2015-03-23,2015-01-01,2017-12-31,4,379.1662929219097,-15341.107476390322,84658.89252360976
2015-03-24,2015-01-01,2017-12-31,4,-531.6569568662226,-15872.764433256543,84127.23556674353
2015-03-25,2015-01-01,2017-12-31,5,-637.9492551959185,-16510.713688452463,83489.2863115476
2015-03-26,2015-01-01,2017-12-31,11,-1100.5237447951858,-17611.237433247647,82388.76256675241
2015-03-27,2015-01-01,2017-12-31,2,-1049.467689890072,-18660.70512313772,81339.29487686233
2015-03-30,2015-01-01,2017-12-31,1,421.3140637346044,-18239.391059403115,81760.60894059694
2015-03-31,2015-01-01,2017-12-31,8,269.08029443968894,-17970.310764963426,82029.68923503661
2015-04-01,2015-01-01,2017-12-31,10,-3550.943533008173,-21521.254297971598,78478.74570202843
2015-04-07,2015-01-01,2017-12-31,14,-1656.6853437119194,-23177.93964168352,76822.0603583165
2015-04-08,2015-01-01,2017-12-31,3,-434.4423737636332,-23612.38201544715,76387.61798455287
2015-04-09,2015-01-01,2017-12-31,7,303.83692795717275,-23308.545087489976,76691.45491251005
2015-04-10,2015-01-01,2017-12-31,6,-428.9205650306292,-23737.465652520605,76262.5343474794
2015-04-13,2015-01-01,2017-12-31,6,-1463.3555283981532,-25200.821180918756,74799.17881908125
2015-04-14,2015-01-01,2017-12-31,2,334.4439015893786,-24866.377279329376,75133.62272067062
2015-04-15,2015-01-01,2017-12-31,5,241.27944662256422,-24625.09783270681,75374.90216729317
2015-04-16,2015-01-01,2017-12-31,6,934.6929939937423,-23690.404838713068,76309.59516128691
2015-04-17,2015-01-01,2017-12-31,10,3537.409705315786,-20152.995133397282,79847.0048666027
2015-04-20,2015-01-01,2017-12-31,6,44.96117534604268,-20108.03395805124,79891.96604194873
2015-04-21,2015-01-01,2017-12-31,7,1082.8136517350006,-19025.22030631624,80974.77969368375
2015-04-22,2015-01-01,2017-12-31,8,-2681.83927608038,-21707.05958239662,78292.94041760339
2015-04-23,2015-01-01,2017-12-31,5,-999.0535442173634,-22706.113126613986,77293.88687338601
2015-04-24,2015-01-01,2017-12-31,1,-539.9791389850118,-23246.092265598996,76753.907734401
2015-04-27,2015-01-01,2017-12-31,5,217.01120285736766,-23029.08106274163,76970.91893725836
2015-04-28,2015-01-01,2017-12-31,2,-1351.4825107098136,-24380.563573451444,75619.43642654855
2015-04-29,2015-01-01,2017-12-31,6,1506.9375341121163,-22873.626039339328,77126.37396066067
2015-05-04,2015-01-01,2017-12-31,10,791.0220546674441,-22082.603984671885,77917.39601532812
2015-05-05,2015-01-01,2017-12-31,3,-287.78857493494763,-22370.392559606833,77629.60744039317
2015-05-06,2015-01-01,2017-12-31,5,-909.7951417787165,-23280.18770138555,76719.81229861444
2015-05-07,2015-01-01,2017-12-31,5,21.89789155327422,-23258.289809832273,76741.71019016772
2015-05-08,2015-01-01,2017-12-31,7,-2579.8319293025907,-25838.121739134862,74161.87826086514
2015-05-11,2015-01-01,2017-12-31,1,104.63025517455466,-25733.491483960308,74266.5085160397
2015-05-12,2015-01-01,2017-12-31,5,-1348.7464845430595,-27082.237968503367,72917.76203149663
2015-05-15,2015-01-01,2017-12-31,12,-2058.2919957157173,-29140.529964219084,70859.4700357809
2015-05-18,2015-01-01,2017-12-31,2,283.8724903664963,-28856.65747385259,71143.3425261474
2015-05-19,2015-01-01,2017-12-31,1,-205.64443574007078,-29062.30190959266,70937.69809040733
2015-05-20,2015-01-01,2017-12-31,2,-147.20040917452567,-29209.502318767187,70790.49768123281
2015-05-21,2015-01-01,2017-12-31,1,358.7749741160468,-28850.72734465114,71149.27265534886
2015-05-22,2015-01-01,2017-12-31,1,63.0062890426596,-28787.72105560848,71212.27894439152
2015-05-25,2015-01-01,2017-12-31,1,-97.7074891453467,-28885.428544753828,71114.57145524617
2015-05-26,2015-01-01,2017-12-31,3,-524.2029004632018,-29409.63144521703,70590.36855478297
2015-05-27,2015-01-01,2017-12-31,3,-781.250139128126,-30190.881584345156,69809.11841565484
2015-05-28,2015-01-01,2017-12-31,1,-740.5221956511781,-30931.403779996333,69068.59622000366
2015-05-29,2015-01-01,2017-12-31,2,-567.1939257947796,-31498.59770579111,68501.40229420888
2015-06-01,2015-01-01,2017-12-31,2,318.8174818379795,-31179.78022395313,68820.21977604686
2015-06-02,2015-01-01,2017-12-31,2,2.576118073740531,-31177.20410587939,68822.7958941206
2015-06-03,2015-01-01,2017-12-31,2,-920.8713780222814,-32098.075483901674,67901.92451609831
2015-06-04,2015-01-01,2017-12-31,9,2649.634107430059,-29448.441376471616,70551.55862352837
2015-06-05,2015-01-01,2017-12-31,11,-203.49457760929687,-29651.935954080913,70348.06404591909
2015-06-08,2015-01-01,2017-12-31,11,-628.1126511262638,-30280.048605207176,69719.95139479282
2015-06-09,2015-01-01,2017-12-31,9,437.6730971811397,-29842.375508026034,70157.62449197397
2015-06-10,2015-01-01,2017-12-31,4,-1297.79529426744,-31140.170802293476,68859.82919770652
2015-06-11,2015-01-01,2017-12-31,5,-2177.4370286039207,-33317.607830897396,66682.39216910259
2015-06-12,2015-01-01,2017-12-31,3,250.21674869550947,-33067.39108220189,66932.6089177981
2015-06-15,2015-01-01,2017-12-31,9,-431.8701422696877,-33499.26122447158,66500.73877552841
2015-06-16,2015-01-01,2017-12-31,6,388.43193110398784,-33110.82929336759,66889.1707066324
2015-06-17,2015-01-01,2017-12-31,9,601.7187429251537,-32509.110550442438,67490.88944955758
2015-06-18,2015-01-01,2017-12-31,6,56.75616082133786,-32452.3543896211,67547.64561037891
2015-06-22,2015-01-01,2017-12-31,17,210.11032825087375,-32242.244061370227,67757.7559386298
2015-06-23,2015-01-01,2017-12-31,6,-587.2511869588881,-32829.49524832911,67170.5047516709
2015-06-24,2015-01-01,2017-12-31,3,513.7775962672799,-32315.717652061834,67684.28234793819
2015-06-25,2015-01-01,2017-12-31,5,670.8032847890387,-31644.914367272795,68355.08563272723
2015-06-26,2015-01-01,2017-12-31,4,-862.1464453038221,-32507.060812576616,67492.93918742341
2015-06-29,2015-01-01,2017-12-31,13,2106.5103004304333,-30400.550512146183,69599.44948785381
2015-06-30,2015-01-01,2017-12-31,5,-879.6881818314569,-31280.23869397764,68719.76130602235
2015-07-01,2015-01-01,2017-12-31,2,-72.6705917261144,-31352.909285703754,68647.09071429624
2015-07-02,2015-01-01,2017-12-31,2,-327.91299099466835,-31680.82227669842,68319.17772330156
2015-07-06,2015-01-01,2017-12-31,8,-411.44472822901724,-32092.26700492744,67907.73299507254
2015-07-07,2015-01-01,2017-12-31,4,327.87404660482343,-31764.392958322616,68235.60704167736
2015-07-08,2015-01-01,2017-12-31,4,900.8624903402502,-30863.530467982368,69136.4695320176
2015-07-09,2015-01-01,2017-12-31,2,-384.81881257649013,-31248.349280558858,68751.6507194411
2015-07-10,2015-01-01,2017-12-31,13,-2478.4685453703078,-33726.81782592917,66273.1821740708
2015-07-13,2015-01-01,2017-12-31,8,-170.62015005476542,-33897.437975983936,66102.56202401602
2015-07-14,2015-01-01,2017-12-31,3,-135.45695916430375,-34032.89493514824,65967.10506485171
2015-07-15,2015-01-01,2017-12-31,6,1194.7676422727814,-32838.127292875455,67161.87270712451
2015-07-16,2015-01-01,2017-12-31,6,-510.7841915272193,-33348.91148440268,66651.0885155973
2015-07-17,2015-01-01,2017-12-31,7,4064.9179660611744,-29283.993518341504,70716.00648165846
2015-07-20,2015-01-01,2017-12-31,3,344.2176528228823,-28939.775865518623,71060.22413448134
2015-07-21,2015-01-01,2017-12-31,3,885.6086845080789,-28054.167181010544,71945.83281898942
2015-07-22,2015-01-01,2017-12-31,9,1056.4568788417682,-26997.710302168776,73002.28969783119
2015-07-24,2015-01-01,2017-12-31,1,-613.6481636053152,-27611.35846577409,72388.64153422587
2015-07-27,2015-01-01,2017-12-31,2,1334.8989015560128,-26276.45956421808,73723.54043578188
2015-07-28,2015-01-01,2017-12-31,2,-61.5555874742107,-26338.01515169229,73661.98484830766
2015-07-30,2015-01-01,2017-12-31,1,-441.96669408206793,-26779.981845774357,73220.0181542256
2015-07-31,2015-01-01,2017-12-31,1,-135.5160957661466,-26915.497941540503,73084.50205845946
2015-08-03,2015-01-01,2017-12-31,3,-853.9427184592143,-27769.440659999716,72230.55934000024
2015-08-04,2015-01-01,2017-12-31,3,643.9158509630072,-27125.52480903671,72874.47519096325
2015-08-05,2015-01-01,2017-12-31,3,-126.4677829799491,-27251.992592016657,72748.0074079833
2015-08-06,2015-01-01,2017-12-31,3,533.7680261338254,-26718.224565882832,73281.77543411711
2015-08-07,2015-01-01,2017-12-31,4,435.2315848056749,-26282.992981077157,73717.0070189228
2015-08-10,2015-01-01,2017-12-31,2,621.8039151235995,-25661.189065953557,74338.8109340464
2015-08-11,2015-01-01,2017-12-31,9,-1475.7412739345643,-27136.93033988812,72863.0696601118
2015-08-12,2015-01-01,2017-12-31,17,10518.814959309148,-16618.115380578973,83381.88461942095
2015-08-13,2015-01-01,2017-12-31,12,1279.2140195917655,-15338.901360987207,84661.09863901271
2015-08-17,2015-01-01,2017-12-31,3,-1405.8711030567074,-16744.772464043916,83255.227535956
2015-08-18,2015-01-01,2017-12-31,1,234.46631020655815,-16510.30615383736,83489.69384616255
2015-08-19,2015-01-01,2017-12-31,4,920.6466517652144,-15589.659502072143,84410.34049792777
2015-08-20,2015-01-01,2017-12-31,9,-2157.2868398298774,-17746.94634190202,82253.05365809791
2015-08-21,2015-01-01,2017-12-31,14,-1110.54667989074,-18857.49302179276,81142.50697820718
2015-08-24,2015-01-01,2017-12-31,16,-4281.768331874149,-23139.26135366691,76860.73864633303
2015-08-26,2015-01-01,2017-12-31,15,-6073.620671325565,-29212.882024992476,70787.11797500747
2015-08-27,2015-01-01,2017-12-31,12,706.4066776509778,-28506.475347341497,71493.52465265845
2015-08-28,2015-01-01,2017-12-31,4,-756.4037109607327,-29262.87905830223,70737.12094169772
2015-08-31,2015-01-01,2017-12-31,2,-87.41880436832123,-29350.29786267055,70649.70213732941
2015-09-01,2015-01-01,2017-12-31,11,-724.8881890497241,-30075.186051720277,69924.81394827968
2015-09-02,2015-01-01,2017-12-31,2,1300.5686644964674,-28774.61738722381,71225.38261277614
2015-09-03,2015-01-01,2017-12-31,5,-402.852293522585,-29177.469680746395,70822.53031925355
2015-09-04,2015-01-01,2017-12-31,4,1175.4982399768815,-28001.971440769514,71998.02855923043
2015-09-07,2015-01-01,2017-12-31,2,-313.546264064238,-28315.51770483375,71684.48229516619
2015-09-08,2015-01-01,2017-12-31,3,191.6207478118837,-28123.896957021865,71876.10304297808
2015-09-09,2015-01-01,2017-12-31,9,-933.5731962882135,-29057.470153310078,70942.52984668988
