date,ticker,direction,entry_price,stop_price,exit_price,exit_type,atr_multiplier,shares,gross_pnl,costs,net_pnl,capital_after
2021-01-04,ABB_5_min,long,232.0,228.88883408348235,233.7,eod,1.0,321.42290923503924,546.4189456995631,89.81198929845465,456.60695640110845,100456.60695640111
2021-01-04,ALFA_LAVAL_5_MIN,long,227.9,223.34242894786374,229.0,eod,1.0,220.4169848527411,242.45868333801397,60.42511222753044,182.03357111048354,100638.6405275116
2021-01-04,BOLIDEN_5_min,long,271.446607,266.2317579895056,277.66364,eod,1.0,192.9847639404053,1199.7926459147127,63.581946836731575,1136.2106990779812,101774.85122658958
2021-01-04,ERICSSON_5_MIN,short,98.8,101.10725248096007,99.52,eod,1.0,441.1084268690002,-317.5980673456796,52.488373929996065,-370.08644127567567,101404.7647853139
2021-01-04,GETINGE_5_min,long,195.3,192.175,195.15,eod,1.0,324.4952473130045,-48.67428709695252,76.01950158801755,-124.69378868497006,101280.07099662893
2021-01-04,HM_5_min,long,174.35,170.30500554346486,170.30500554346486,stop,1.0,250.38370777739826,-1012.8007099662893,51.777598915207484,-1064.578308881497,100215.49268774744
2021-01-04,INVESTOR_5_MIN,long,151.4,149.14642857142857,152.25,eod,1.0,444.69632254467865,377.99187416297434,81.019223004415,296.97265115855936,100512.465338906
2021-01-04,NORDEA_5_min,long,67.76,66.37065464755432,66.79,eod,1.0,723.4519852243524,-701.748425667621,58.40427876716197,-760.1527044347829,99752.3126344712
2021-01-04,SEB_5_MIN,long,85.4,83.21682703590707,84.42,eod,1.0,456.91438230097555,-447.77609465495783,46.555920241411,-494.33201489636883,99257.98061957484
2021-01-04,SKF_5_min,long,216.0,212.14464534075103,215.8,eod,1.0,257.45486315106064,-51.4909726302092,66.70140594517679,-118.19237857538599,99139.78824099945
2021-01-04,VOLVO_5_MIN,long,196.15,193.0190342565598,197.2,eod,1.0,316.64283919014565,332.47498114964753,74.73087647726626,257.74410467238124,99397.53234567183
2021-01-04,ATLAS_5_min,long,93.40000011,91.52181089861348,94.92500016,eod,1.0,529.2200154439968,807.0605500130973,59.79921573082805,747.2613342822692,100144.7936799541
2021-01-04,ESSITY_5_min,long,267.5,262.82157565384824,267.8,eod,1.0,214.05667008878385,64.21700102663759,68.7507212991156,-4.533720272478007,100140.25995968163
2021-01-04,KINNEVIK_5_min,long,212.23072645,207.24995353779866,215.93618432,eod,1.0,201.0536551754235,744.99584886204,51.65071346128674,693.3451354007533,100833.60509508238
2021-01-04,ASSA_5_min,long,205.4,201.66233005647354,203.1,eod,1.0,269.7766432526315,-620.4862794810556,66.12225526121998,-686.6085347422755,100146.9965603401
2021-01-04,HEXAGON_5_min,long,108.599891,106.52015338995099,108.514177,eod,1.0,481.5366903807648,-41.27443587929488,62.729033843894584,-104.00346972318945,100042.99309061692
2021-01-07,ALFA_LAVAL_5_MIN,long,230.2,225.4820821661998,232.3,eod,1.0,212.04903649208816,445.30297663338996,58.84360762655446,386.4593690068355,100429.45245962375
2021-01-07,ATLAS_5_min,long,99.25000006,97.23955226052281,98.92500016,eod,1.0,499.5377272950833,-162.34971141713373,59.39753352996086,-221.7472449470946,100207.70521467665
2021-01-07,BOLIDEN_5_min,long,287.080615,281.2731542748662,290.463412,eod,1.0,172.54994903537258,583.7014499470082,59.7931154547203,523.9083344922878,100731.61354916893
2021-01-07,ERICSSON_5_MIN,short,100.45,102.83642857142857,98.66,eod,1.0,422.10194243890083,755.5624769656351,50.426830655405716,705.1356463102294,101436.74919547916
2021-01-07,ESSITY_5_min,long,270.0,265.2377410614673,265.2377410614673,stop,1.0,213.00133089095158,-1014.3674919547916,68.40381071349543,-1082.771302668287,100353.97789281087
2021-01-07,HEXAGON_5_min,short,109.228462,111.3435444973735,107.285607,eod,1.0,474.46838606735037,921.8232762128794,61.637448527582954,860.1858276852964,101214.16372049617
2021-01-07,HM_5_min,short,173.4,177.65223831468072,177.2,eod,1.0,238.0256143477605,-904.4973345214859,50.07106823419489,-954.5684027556807,100259.59531774049
2021-01-07,HUSQVARNA_5_min,short,110.25,112.79055278658812,106.1,eod,1.0,394.6369303839019,1637.7432610931953,51.227819933134306,1586.515441160061,101846.11075890056
2021-01-07,INVESTOR_5_MIN,short,151.5,153.82396950875213,153.15,eod,1.0,438.24202673634704,-723.0993441149751,80.10626006713686,-803.205604182112,101042.90515471845
2021-01-07,NORDEA_5_min,short,68.17,69.55301140887566,69.48,eod,1.0,730.6006624837809,-957.0868678537546,60.34030871453546,-1017.4271765682901,100025.47797815016
2021-01-07,SKF_5_min,long,222.6,218.75714285714284,226.5,eod,1.0,260.28934789853116,1015.128456804273,70.1375676847382,944.9908891195348,100970.4688672697
2021-01-07,SWEDBANK_5_MIN,long,146.8,142.76675816688083,149.42,eod,1.0,250.34568479912457,655.9056941737003,44.49443925071801,611.4112549229824,101581.88012219267
2021-01-07,ABB_5_min,long,242.9,239.5102643535729,246.3,eod,1.0,299.67493255488273,1018.894770686603,87.96058620350917,930.9341844830939,102512.81430667576
2021-01-07,HANDELSBANKEN_5_min,long,91.5,89.78571428571428,93.4,eod,1.0,597.9914167889392,1136.183691898988,66.34116777856491,1069.8425241204231,103582.65683079619
2021-01-07,VOLVO_5_MIN,long,206.6,203.19312182210768,210.9,eod,1.0,304.03980248826616,1307.371150699548,76.16197052331067,1231.2091801762374,104813.86601097243
2021-01-07,KINNEVIK_5_min,short,211.73334954,217.028707927969,211.48466109,eod,1.0,197.93535834913158,49.2242374680407,50.26188515631337,-1.0376476882726706,104812.82836328416
2021-01-07,SEB_5_MIN,long,85.7,83.49043940609953,87.94,eod,1.0,474.36050702850804,1062.5675357438556,49.42077506425808,1013.1467606795975,105825.97512396376
2021-01-07,ASSA_5_min,short,204.8,208.48005507745268,208.48005507745268,stop,1.0,287.5662806579964,-1058.2597512396376,71.30724498525298,-1129.5669962248905,104696.40812773886
2021-01-08,ASSA_5_min,long,215.2,211.12142857142857,214.7,eod,1.0,256.69872395592756,-128.34936197796378,66.21286885719195,-194.56223083515573,104501.8458969037
2021-01-08,ESSITY_5_min,short,265.3,269.77142857142854,263.9,eod,1.0,233.71019849147999,327.19427788807997,74.20766222501472,252.98661566306527,104754.83251256676
2021-01-08,HANDELSBANKEN_5_min,long,94.4,92.61575831182633,94.1,eod,1.0,587.1112260570039,-176.13336781710785,66.40227966704714,-242.535647484155,104512.29686508261
2021-01-08,SANDVIK_min,short,216.3,221.2946428571429,215.9,eod,1.0,209.24878886108692,83.69951554443595,54.262395927457064,29.43711961697889,104541.73398469959
2021-01-08,VOLVO_5_MIN,short,211.6,215.7123422633106,210.9,eod,1.0,254.21457478721405,177.95020235104695,64.44339470855876,113.5068076424882,104655.24079234208
2021-01-08,HEXAGON_5_min,long,107.999892,105.87498871126044,108.599891,eod,1.0,492.51766584831717,295.5101069913229,64.00753172784721,231.5025752634757,104886.74336760557
2021-01-08,INVESTOR_5_MIN,long,154.0,151.7119140625,155.45,eod,1.0,458.4038634589335,664.6856020154484,85.11184532842016,579.5737566870282,105466.31712429259
2021-01-11,INVESTOR_5_MIN,long,156.2,153.82148369315573,153.82148369315573,stop,1.0,443.4122096233256,-1054.663171242926,82.48038666905039,-1137.1435579119764,104329.17356638062
2021-01-11,ESSITY_5_min,short,262.5,266.9251998477351,260.2,eod,1.0,235.76149587860658,542.2514405207978,73.93952033744858,468.31192018334923,104797.48548656396
2021-01-12,SKF_5_min,long,233.9,229.59078834618683,235.2,eod,1.0,243.19410116193689,316.1523315105138,68.44941171303874,247.7029197974751,105045.18840636144
2021-01-12,ESSITY_5_min,long,260.7,256.25746940343555,263.2,eod,1.0,236.45349451863427,591.1337362965857,74.32679146698749,516.8069448295981,105561.99535119104
2021-01-13,BOLIDEN_5_min,short,282.234987,288.3838406579208,277.206505,eod,1.0,171.6775210859154,863.2773245851455,57.626117123499576,805.6512074616459,106367.64655865269
2021-01-13,ERICSSON_5_MIN,short,97.62,99.48095082158937,98.18,eod,1.0,571.5768806174469,-320.0830531457716,67.14885193493767,-387.2319050807093,105980.41465357198
2021-01-13,HANDELSBANKEN_5_min,short,95.9,97.76559251559253,95.1,eod,1.0,568.0791157114602,454.4632925691746,65.10186666053333,389.36142590864125,106369.77607948062
2021-01-14,ALFA_LAVAL_5_MIN,long,239.4,234.68374425407438,238.8,eod,1.0,225.5386090361482,-135.32316542168763,64.71153770465163,-200.03470312633925,106169.74137635429
2021-01-14,ESSITY_5_min,short,265.4,269.811455424275,269.811455424275,stop,1.0,240.66828555522045,-1061.697413763543,77.28505403188473,-1138.9824677954277,105030.75890855886
2021-01-14,GETINGE_5_min,short,194.4,197.79555522903428,196.1,eod,1.0,309.3183642264908,-525.8412191850309,72.47329273826679,-598.3145119232977,104432.44439663556
2021-01-14,HUSQVARNA_5_min,short,110.5,113.31913116123643,111.05,eod,1.0,370.4419497489188,-203.74307236190427,49.24284838012377,-252.98592074202804,104179.45847589354
2021-01-14,SEB_5_MIN,long,88.28,86.37125871178968,88.9,eod,1.0,545.8018806392273,338.3971659963234,58.02310632699498,280.3740596693284,104459.83253556286
2021-01-14,SWEDBANK_5_MIN,long,151.36,148.26357142857145,153.36,eod,1.0,337.35586055314536,674.7117211062907,61.67944669665267,613.032274409638,105072.8648099725
2021-01-15,ERICSSON_5_MIN,long,97.88,96.10530779353707,99.0,eod,1.0,592.0624682259079,663.1099644130195,69.93915524659003,593.1708091664294,105666.03561913893
2021-01-15,ESSITY_5_min,short,267.1,271.4545039756657,265.7,eod,1.0,242.6591781971798,339.72284947606,77.57328608607443,262.1495633899856,105928.18518252892
2021-01-15,ALFA_LAVAL_5_MIN,short,237.8,242.49088452531078,235.0,eod,1.0,225.81708121563992,632.2878274037944,64.05978959925272,568.2280378045416,106496.41322033346
2021-01-15,BOLIDEN_5_min,short,274.555124,280.784066539997,269.800922,eod,1.0,170.97029317015364,812.8273097301246,55.84122766413938,756.9860820659852,107253.39930239944
2021-01-18,ATLAS_5_min,long,99.62500006,97.25297626288145,98.87500006,eod,1.0,452.15987897206884,-339.11990922905164,53.8522416181289,-392.97215084718056,106860.42715155226
2021-01-18,ERICSSON_5_MIN,long,99.98,98.21395561469781,99.76,eod,1.0,605.0834737840803,-133.118364232497,72.51562383217932,-205.63398806467632,106654.79316348759
2021-01-18,GETINGE_5_min,long,194.05,190.4137567846989,193.25,eod,1.0,293.31039440566076,-234.64831552453194,68.15946945198745,-302.8077849765194,106351.98537851106
2021-01-18,INVESTOR_5_MIN,long,155.35,153.03198397347333,155.45,eod,1.0,458.8060831394244,45.88060831393983,85.55815838383985,-39.67755006990002,106312.30782844116
2021-01-19,HEXAGON_5_min,short,108.057035,110.00345728155186,108.199892,eod,1.0,546.1934382691074,-78.02755601081341,70.87086870458482,-148.89842471539822,106163.40940372576
2021-01-19,SANDVIK_min,short,220.2,224.7142857142857,215.5,eod,1.0,235.1721094386335,1105.3089143615748,61.478692849447555,1043.8302215121273,107207.23962523788
