date,ticker,direction,entry_price,stop_price,exit_price,exit_type,atr_multiplier,shares,gross_pnl,costs,net_pnl,capital_after
2009-02-23,BOLIDEN_5_min,long,22.730333,21.871337892857145,21.871337892857145,stop,0.5,1164.1509848946014,-1000.0000000000001,31.15384745871871,-1031.153847458719,98968.84615254129
2009-02-23,ERICSSON_5_MIN,short,73.7,75.25794401544401,70.5,eod,0.5,635.2529049276238,2032.809295768398,54.96208133433801,1977.8472144340599,100946.69336697535
2009-02-24,ASSA_5_min,long,25.499975,24.729600986684837,25.083308,eod,0.5,1310.3595347481914,-545.9835762649251,39.76937230674965,-585.7529485716748,100360.94041840367
2009-02-24,BOLIDEN_5_min,short,20.792087,21.688840142857142,21.688840142857142,stop,0.5,1119.159059745739,-1003.6094041840369,28.525748686996337,-1032.1351528710331,99328.80526553263
2009-02-24,ERICSSON_5_MIN,long,69.3,67.66556603773584,69.0,eod,0.5,607.726023558236,-182.31780706746906,50.42910543486242,-232.7469125023315,99096.0583530303
2009-02-24,HM_5_min,long,163.0,160.40274725274725,161.25,eod,0.5,381.5418366882055,-667.6982142043596,74.22896432769036,-741.92717853205,98354.13117449825
2009-02-25,ASSA_5_min,long,25.833308,25.077356285714284,25.333308,eod,0.5,1301.063670018016,-650.531835009008,39.942615117217514,-690.4744501262255,97663.65672437202
2009-02-25,ATLAS_5_min,long,13.75000002,13.302232175357144,13.302232175357144,stop,0.5,2181.1226038857153,-976.6365672437203,35.402541076115014,-1012.0391083198352,96651.61761605219
2009-02-25,ERICSSON_5_MIN,long,70.6,68.99642857142857,70.7,eod,0.5,602.7272368038892,60.272723680394066,51.099215136233724,9.173508544160342,96660.79112459635
2009-02-25,BOLIDEN_5_min,long,23.082741,22.130546040219077,22.130546040219077,stop,0.5,1015.1365550898922,-966.6079112459635,27.538596270179074,-994.1465075161425,95666.64461708021
2009-02-25,HM_5_min,long,165.0,162.45270711024133,163.75,eod,0.5,375.5620133110952,-469.452516638869,74.07960712561353,-543.5321237644825,95123.11249331573
2009-02-26,INVESTOR_5_MIN,long,24.9375,24.390625,26.0,eod,0.5,1739.3940570206305,1848.10618558442,53.16023086769302,1794.945954716727,96918.05844803245
2009-02-26,ABB_5_min,long,104.75,102.21716934381409,108.0,eod,0.5,382.64721019279517,1243.6034331265844,48.844916381110295,1194.758516745474,98112.81696477791
2009-02-27,ABB_5_min,short,107.25,109.85107973421925,109.85107973421925,stop,0.5,377.20034366508054,-981.1281696477791,49.13436113148453,-1030.2625307792637,97082.55443399865
2009-02-27,INVESTOR_5_MIN,short,25.625,26.199491657977056,25.625,eod,0.5,1689.886233959483,0.0,51.9640016942541,-51.9640016942541,97030.5904323044
2009-03-02,ABB_5_min,long,108.0,105.42558139534884,105.42558139534884,stop,0.5,376.9029257984732,-970.3059043230439,48.264435640888294,-1018.5703399639323,96012.02009234046
2009-03-02,ALFA_LAVAL_5_MIN,long,61.5,59.75,59.75,stop,0.5,548.6401148133741,-960.1202009234047,39.91356835267296,-1000.0337692760777,95011.98632306438
2009-03-02,BOLIDEN_5_min,short,21.849312,22.704857330112187,22.704857330112187,stop,0.5,1110.542983276008,-950.119863230644,29.68759207514832,-979.8074553057924,94032.17886775859
