date,ticker,direction,entry_price,stop_price,take_profit_price,exit_price,exit_type,atr_multiplier,shares,gross_pnl,costs,net_pnl,capital_after
2010-02-09,GETINGE_5_min,long,155.642662,151.4534197857143,164.02114642857143,157.219788,eod,1.0,238.70665596510636,376.47047349562257,44.80940952993017,331.6610639656924,100331.66106396569
2010-02-10,GETINGE_5_min,short,157.219788,161.35270428571428,148.95395542857142,154.262676,eod,1.0,242.76238405982005,717.8755590519014,45.36973533208024,672.5058237198211,101004.16688768551
2010-02-12,GETINGE_5_min,long,158.008351,153.8331902857143,166.35867242857142,159.092626,eod,1.0,241.9168357809321,262.30437711636796,46.02723898732928,216.2771381290387,101220.44402581455
2010-02-23,GETINGE_5_min,long,164.612568,161.04291114285715,171.75188171428573,162.838301,eod,1.0,283.557910680611,-503.1074435095581,55.71077055851426,-558.8182140680724,100661.62581174647
2010-03-02,GETINGE_5_min,long,169.146806,165.68980107142858,176.06081585714284,170.03394,eod,1.0,291.1816092010723,258.31710569698504,59.25791725818009,199.05918843880494,100860.68500018527
2010-03-05,GETINGE_5_min,short,167.963962,171.27311135714285,161.34566328571432,167.273969,eod,1.0,304.79338982532215,210.3053054257482,61.30698323251047,148.99832219323773,101009.6833223785
2010-03-09,GETINGE_5_min,short,165.401131,168.5131395,159.177114,166.485406,eod,1.0,324.58035806257743,-351.93436773830746,64.6343106093653,-416.56867834767274,100593.11464403084
2010-03-10,GETINGE_5_min,short,165.00685,168.1399807142857,158.74058857142853,165.20399,eod,1.0,321.062616970845,-63.2942843096384,63.61101386552458,-126.90529817516298,100466.20934585568
2010-03-11,GETINGE_5_min,short,164.021146,167.22468414285714,157.61406971428568,161.261174,eod,1.0,313.61015497774713,865.5552466542352,61.20710327203268,804.3481433822026,101270.55748923788
2010-03-12,GETINGE_5_min,long,162.246878,159.05742135714286,168.6257912857143,159.289766,eod,1.0,317.51664571467114,-938.9322832426101,61.2559420063394,-1000.1882252489495,100270.36926398893
2010-03-16,GETINGE_5_min,long,158.205492,154.98787228571427,164.64073142857143,161.458315,eod,1.0,311.62902445806293,1013.6740582247517,59.769912197976296,953.9041460267754,101224.27341001571
2010-03-17,GETINGE_5_min,long,162.936871,159.63476242857143,169.54108814285712,163.035442,eod,1.0,306.5443525565968,30.216383375854043,59.954982983976784,-29.73859960812274,101194.53481040758
2010-03-26,GETINGE_5_min,short,169.738229,172.72350407142855,163.76767885714287,170.526792,eod,1.0,338.97892954293957,-267.30624161717265,69.20560354769151,-336.51184516486416,100858.02296524272
2010-03-31,GETINGE_5_min,long,168.851095,166.08408307142855,174.38511885714286,169.93537,eod,1.0,364.5015835450848,395.21995449835396,74.09292178568487,321.1270327126691,101179.14999795539
2010-04-06,GETINGE_5_min,long,170.03394,167.40070214285714,175.30041571428572,169.93537,eod,1.0,384.2385514984877,-37.874394021204076,78.3775891370042,-116.25198315820828,101062.89801479719
2010-04-07,GETINGE_5_min,short,169.541088,172.04055171428573,164.54216057142855,168.949666,eod,1.0,404.33832840689223,239.13458286305874,82.11887139212912,157.0157114709296,101219.91372626812
2010-04-08,GETINGE_5_min,short,168.555384,170.8929105714286,163.88033085714284,168.653954,eod,1.0,433.0214465301561,-42.68292398447539,87.6113251945418,-130.29424917901719,101089.6194770891
2010-04-19,GETINGE_5_min,short,168.062532,170.09026592857143,164.00706414285716,170.09026592857143,stop,1.0,498.53493129795737,-1010.896194770891,101.14858913011945,-1112.0447839010105,99977.57469318809
2010-04-27,GETINGE_5_min,short,162.73973,165.9643902857143,156.29040942857142,158.796914,eod,1.0,310.0406425324958,1222.4332060274116,59.813656622101405,1162.6195494053102,101140.1942425934
2010-04-28,GETINGE_5_min,long,158.205492,154.6851205,165.24623499999996,157.318358,eod,1.0,287.29977572706156,-254.87339923985195,54.389958804923396,-309.2633580447754,100830.93088454862
2010-04-29,GETINGE_5_min,long,156.628366,153.00942407142858,163.86624985714283,160.866893,eod,1.0,278.6199195087715,1180.938051575756,53.07630210419793,1127.861749471558,101958.79263402018
2010-05-03,GETINGE_5_min,long,159.684048,155.83980235714284,167.37253928571428,160.669752,eod,1.0,265.2244474113306,261.43279871113776,50.97939574867194,210.45340296246582,102169.24603698264
2010-05-06,GETINGE_5_min,long,149.235586,144.78583642857143,158.13508514285718,148.348452,eod,1.0,229.6067326867148,-203.69193919529678,40.9963791989395,-244.6883183942363,101924.5577185884
2010-05-07,GETINGE_5_min,short,145.884192,150.54516385714285,136.56224828571433,145.39134,eod,1.0,218.6766211909029,107.7752101071787,38.21708950400563,69.55812060317307,101994.11583919158
2010-05-10,GETINGE_5_min,long,149.629867,144.75767278571428,159.37425542857142,155.544091,eod,1.0,209.33918344251472,1238.078822856127,38.33092030538417,1199.747902550743,103193.86374174233
2010-05-17,GETINGE_5_min,long,149.728438,144.22961771428572,160.7260785714286,149.925578,eod,1.0,187.66545982569352,36.9963687500354,33.74082522075343,3.2555435292819723,103197.11928527162
2010-05-24,GETINGE_5_min,long,140.36425,135.11889642857145,150.8549571428571,144.997058,eod,1.0,196.74006314347707,911.458938451608,33.68520105277513,877.7737373988328,104074.89302267045
2010-05-25,GETINGE_5_min,short,141.744235,147.1304034285714,130.97189814285719,140.857102,eod,1.0,193.22621340728213,171.41735037864353,32.76359175140715,138.65375862723639,104213.54678129769
2010-06-09,GETINGE_5_min,long,152.389838,147.6584587142857,161.8525965714286,154.459817,eod,1.0,220.26039446035355,455.93439106464587,40.55209563019404,415.3822954344518,104628.92907673214
2010-06-16,GETINGE_5_min,short,160.669752,164.29573471428571,153.41778657142854,161.162604,eod,1.0,288.55330353482594,-142.2140727537458,55.71947370491768,-197.93354645866347,104430.99553027347
2010-06-18,GETINGE_5_min,long,160.07833,156.62836578571427,166.97825842857145,161.359745,eod,1.0,302.70167759376193,387.8864701938134,58.37990672700567,329.50656346680773,104760.50209374029
2010-06-22,GETINGE_5_min,short,158.501203,161.9018820714286,151.69984485714284,159.585478,eod,1.0,308.0575964192107,-334.0191503574369,58.79341104109453,-392.81256139853144,104367.68953234176
2010-06-30,GETINGE_5_min,long,148.545593,145.21532157142857,155.20613585714284,149.334156,eod,1.0,313.3909405609984,247.1285002616059,56.01168882791047,191.11681143369543,104558.80634377545
2010-07-12,GETINGE_5_min,short,156.628366,160.26138914285715,149.3623197142857,159.092626,eod,1.0,287.8011018161206,-709.2167431613922,54.51890961844715,-763.7356527798394,103795.0706909956
2010-07-13,GETINGE_5_min,short,158.698344,162.52850792857143,151.03801614285712,162.52850792857143,stop,1.0,270.9938076454832,-1037.9507069099561,52.23029263325723,-1090.1809995432134,102704.8896914524
